question_id,question,ground_truth,method,answer,f1_score,exact_match,input_tokens,output_tokens,total_tokens,cost_usd,efficiency,llm_calls,docs_retrieved,avg_similarity
0,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,always_think,1724,0.0,0,84,123,207,0.000699,0.0,1,,
0,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,always_retrieve_k3,1755,1.0,1,404,119,523,0.000999,0.15971,1,3,0.4867
0,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,always_retrieve_k5,1755,1.0,1,621,103,724,0.001136,0.15183,1,5,0.4184
1,Black Book starred the actress and writer of what heritage?,Dutch,always_think,Dutch heritage,0.6667,0,72,92,164,0.000532,0.13057,1,,
1,Black Book starred the actress and writer of what heritage?,Dutch,always_retrieve_k3,"Based on the provided context, I cannot definitively answer this question. While the film ""Black Book"" starred several actors including Carice van Houten in the lead role of a Jewish woman, the context does not provide information about the actress-writer's personal heritage or confirm which cast member is also a writer.",0.0,0,562,295,857,0.002037,0.0,1,3,0.4321
1,Black Book starred the actress and writer of what heritage?,Dutch,always_retrieve_k5,Dutch heritage,0.6667,0,820,258,1078,0.00211,0.09546,1,5,0.3915
2,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,always_think,"If the question is asking about a common actor between two different films and ""American Beauty"" was mentioned twice by mistake, I would need clarification on the second film. However, if asking about the main star of American Beauty (1999), the answer is **Kevin Spacey**, who delivered the iconic lead performance that won him an Oscar.",0.0784,0,73,225,298,0.001198,0.01376,1,,
2,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,always_retrieve_k3,"Kevin Spacey (and Annette Bening) are actors who appear across all the provided contexts about American Beauty. If only one answer is expected, Kevin Spacey is the most prominently featured, being specifically mentioned as winning the Academy Award for Best Actor.",0.1,0,555,292,847,0.002015,0.01483,1,3,0.6529
2,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,always_retrieve_k5,"Based on the provided context, there is no actor in common between the 1999 American Beauty film and the 1927 American Beauty film. The cast lists show completely different actors for each film.",0.0,0,784,291,1075,0.002239,0.0,1,5,0.6048
3,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,always_think,40,0.6667,0,82,71,153,0.000437,0.13236,1,,
3,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,always_retrieve_k3,"The context provided does not contain information about the total number of members in the Florida Senate. To answer this question accurately, additional information about the Florida Legislature would be needed.",0.069,0,421,172,593,0.001281,0.0108,1,3,0.4741
3,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,always_retrieve_k5,40,0.6667,0,596,115,711,0.001171,0.1015,1,5,0.4523
4,"Between Greyia and Calibanus, which genus contains more species?",Greyia,always_think,Greyia contains more species than Calibanus (approximately 3 species vs. 2 species).,0.1538,0,77,228,305,0.001217,0.02688,1,,
4,"Between Greyia and Calibanus, which genus contains more species?",Greyia,always_retrieve_k3,"Greyia contains more species, with three species compared to Calibanus's two species.",0.1538,0,472,117,589,0.001057,0.02411,1,3,0.5461
4,"Between Greyia and Calibanus, which genus contains more species?",Greyia,always_retrieve_k5,"Greyia contains more species, with 3 species compared to Calibanus's 2 species.",0.1538,0,758,119,877,0.001353,0.0227,1,5,0.4777
5,Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,always_think,"Yes, both John Updike and Tom Clancy published more than 15 bestselling novels. Updike had numerous bestsellers throughout his distinguished literary career, and Clancy built his entire reputation on consistently producing bestselling thriller novels, with far more than 15 titles reaching bestseller status.",0.0455,0,82,286,368,0.001512,0.00769,1,,
5,Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,always_retrieve_k3,"No. While Tom Clancy had seventeen bestselling novels (more than 15), the context does not specify how many of John Updike's novels were bestsellers—only that he published more than twenty novels total. Therefore, we cannot confirm that both authors published more than 15 bestselling novels based on the information provided.",0.0,0,511,251,762,0.001766,0.0,1,3,0.4843
5,Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,always_retrieve_k5,"No. While Tom Clancy published 17 bestselling novels (more than 15), the context does not specify how many of John Updike's novels were bestsellers, only that he published more than twenty novels total. Therefore, we cannot confirm that both authors published more than 15 bestselling novels.",0.0,0,653,232,885,0.001813,0.0,1,5,0.4237
6,Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,always_think,Major John André was hung for assisting Benedict Arnold's attempted surrender of West Point to the British during the Revolutionary War.,0.1905,0,84,194,278,0.001054,0.03383,1,,
6,Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,always_retrieve_k3,John André was hung for assisting Benedict Arnold's attempted surrender of West Point to the British Army.,0.2222,0,461,155,616,0.001236,0.03459,1,3,0.5378
6,Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,always_retrieve_k5,John André was hung for assisting Benedict Arnold's attempted surrender of West Point to the British Army.,0.2222,0,875,175,1050,0.00175,0.03194,1,5,0.4688
7,which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,always_think,Dolores del Río,0.0,0,80,162,242,0.00089,0.0,1,,
7,which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,always_retrieve_k3,Salma Hayek,0.8,0,253,149,402,0.000998,0.13336,1,3,0.5199
7,which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,always_retrieve_k5,Salma Hayek,0.8,0,479,151,630,0.001234,0.12408,1,5,0.4822
8,Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,always_think,Gatwick Airport,1.0,1,89,141,230,0.000794,0.18374,1,,
8,Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,always_retrieve_k3,Gatwick Airport (London Gatwick),0.6667,0,457,271,728,0.001812,0.10114,1,3,0.6535
8,Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,always_retrieve_k5,Gatwick Airport (London Gatwick),0.6667,0,949,255,1204,0.002224,0.09397,1,5,0.5692
9,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,The Changing Scottish Landscape,always_think,I cannot provide a definitive answer without access to the specific source that characterized Isabella Kelly's birthplace castle as one of the most isolated fortifications in Britain. Additional context or the source document would be needed to accurately identify who made this characterization.,0.0,0,84,269,353,0.001429,0.0,1,,
9,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,The Changing Scottish Landscape,always_retrieve_k3,"1991's ""The Changing Scottish Landscape""",0.8571,0,358,115,473,0.000933,0.13912,1,3,0.4875
9,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,The Changing Scottish Landscape,always_retrieve_k5,"""The Changing Scottish Landscape"" (1991)",0.8571,0,705,116,821,0.001285,0.12771,1,5,0.4565
10,The facility where Robert Croft worked as a navy instructor was also known as?,"""Home of the Submarine Force""",always_think,"I don't have sufficient information to answer this question accurately. To provide a reliable answer, I would need more context about which Robert Croft you're referring to, the time period, and the country's navy system. If you could provide additional details or sources, I'd be better able to help.",0.0,0,78,169,247,0.000923,0.0,1,,
10,The facility where Robert Croft worked as a navy instructor was also known as?,"""Home of the Submarine Force""",always_retrieve_k3,"The context provided does not include an alternative name for the US Naval Submarine Base New London submarine school in Groton, Connecticut, where Robert Croft worked as a Navy diving instructor. The context only refers to it by its primary name and mentions it had a submarine escape training tank, but no alternate designation is given.",0.037,0,427,219,646,0.001522,0.00572,1,3,0.4816
10,The facility where Robert Croft worked as a navy instructor was also known as?,"""Home of the Submarine Force""",always_retrieve_k5,"The facility where Robert Croft worked as a navy instructor (Naval Submarine Base New London) was also known as the ""Home of the Submarine Force"".",0.32,0,724,140,864,0.001424,0.04732,1,5,0.425
11,"Who released the song ""With or Without You"" first, Jai McDowall or U2?",U2,always_think,"U2 released ""With or Without You"" first in 1987. Jai McDowall may have performed a cover version later, but U2 is the original artist.",0.087,0,83,160,243,0.000883,0.01582,1,,
