question_id,method,threshold,answer_pred,answer_gt,em,f1,precision,recall,input_tokens,output_tokens,cost_usd
5ae143ed55429920d5234360,noise_gate,0.2,1755,1755,1.0,1.0,1.0,1.0,850,5,0.000174
5ae143ed55429920d5234360,noise_gate,0.25,1755,1755,1.0,1.0,1.0,1.0,638,5,0.0001316
5ae143ed55429920d5234360,noise_gate,0.3,1755,1755,1.0,1.0,1.0,1.0,590,5,0.000122
5ae143ed55429920d5234360,noise_gate,0.35,1755,1755,1.0,1.0,1.0,1.0,339,5,7.18e-05
5ae143ed55429920d5234360,noise_gate,0.5,1755,1755,1.0,1.0,1.0,1.0,204,5,4.4800000000000005e-05
5abc19705542993a06baf86e,noise_gate,0.2,Dutch,Dutch,1.0,1.0,1.0,1.0,1397,4,0.00028260000000000004
5abc19705542993a06baf86e,noise_gate,0.25,Dutch,Dutch,1.0,1.0,1.0,1.0,1397,4,0.00028260000000000004
5abc19705542993a06baf86e,noise_gate,0.3,"Dutch
",Dutch,1.0,1.0,1.0,1.0,936,5,0.0001912
5abc19705542993a06baf86e,noise_gate,0.35,Dutch,Dutch,1.0,1.0,1.0,1.0,599,4,0.000123
5abc19705542993a06baf86e,noise_gate,0.5,Dutch,Dutch,1.0,1.0,1.0,1.0,212,4,4.560000000000001e-05
5ac3e0f7554299194317388b,noise_gate,0.2,Kevin Spacey,Kevin Spacey,1.0,1.0,1.0,1.0,1187,6,0.0002422
5ac3e0f7554299194317388b,noise_gate,0.25,Kevin Spacey,Kevin Spacey,1.0,1.0,1.0,1.0,1187,6,0.0002422
5ac3e0f7554299194317388b,noise_gate,0.3,Kevin Spacey,Kevin Spacey,1.0,1.0,1.0,1.0,1028,6,0.00021040000000000002
5ac3e0f7554299194317388b,noise_gate,0.35,Kevin Spacey,Kevin Spacey,1.0,1.0,1.0,1.0,1028,6,0.00021040000000000002
5ac3e0f7554299194317388b,noise_gate,0.5,Kevin Spacey,Kevin Spacey,1.0,1.0,1.0,1.0,593,6,0.00012340000000000002
5ae518655542993aec5ec139,noise_gate,0.2,40,40 members,0.0,0.6666666666666666,1.0,0.5,1387,4,0.00028060000000000004
5ae518655542993aec5ec139,noise_gate,0.25,40,40 members,0.0,0.6666666666666666,1.0,0.5,1143,4,0.00023180000000000002
5ae518655542993aec5ec139,noise_gate,0.3,40,40 members,0.0,0.6666666666666666,1.0,0.5,1021,4,0.00020740000000000003
5ae518655542993aec5ec139,noise_gate,0.35,40,40 members,0.0,0.6666666666666666,1.0,0.5,1021,4,0.00020740000000000003
5ae518655542993aec5ec139,noise_gate,0.5,40,40 members,0.0,0.6666666666666666,1.0,0.5,213,4,4.58e-05
5ab985eb554299131ca42360,noise_gate,0.2,Calibanus,Greyia,0.0,0.0,0.0,0.0,1579,6,0.00032060000000000004
5ab985eb554299131ca42360,noise_gate,0.25,Calibanus,Greyia,0.0,0.0,0.0,0.0,1579,6,0.00032060000000000004
5ab985eb554299131ca42360,noise_gate,0.3,Calibanus,Greyia,0.0,0.0,0.0,0.0,1579,6,0.00032060000000000004
5ab985eb554299131ca42360,noise_gate,0.35,Calibanus,Greyia,0.0,0.0,0.0,0.0,928,6,0.00019040000000000002
5ab985eb554299131ca42360,noise_gate,0.5,Greyia,Greyia,1.0,1.0,1.0,1.0,256,5,5.520000000000001e-05
5a8753d95542994846c1cd63,noise_gate,0.2,no,yes,0.0,0.0,0.0,0.0,667,4,0.0001366
5a8753d95542994846c1cd63,noise_gate,0.25,no,yes,0.0,0.0,0.0,0.0,667,4,0.0001366
5a8753d95542994846c1cd63,noise_gate,0.3,no,yes,0.0,0.0,0.0,0.0,565,4,0.00011619999999999999
5a8753d95542994846c1cd63,noise_gate,0.35,yes,yes,1.0,1.0,1.0,1.0,565,4,0.00011619999999999999
5a8753d95542994846c1cd63,noise_gate,0.5,no,yes,0.0,0.0,0.0,0.0,357,4,7.46e-05
5ab97d0a5542996be202051e,noise_gate,0.2,John André,John André,1.0,1.0,1.0,1.0,1597,5,0.0003234
5ab97d0a5542996be202051e,noise_gate,0.25,John André,John André,1.0,1.0,1.0,1.0,1597,5,0.0003234
5ab97d0a5542996be202051e,noise_gate,0.3,John André,John André,1.0,1.0,1.0,1.0,1404,5,0.0002848
5ab97d0a5542996be202051e,noise_gate,0.35,John André,John André,1.0,1.0,1.0,1.0,743,5,0.0001526
5ab97d0a5542996be202051e,noise_gate,0.5,John André,John André,1.0,1.0,1.0,1.0,479,5,9.980000000000001e-05
5adef1b35542993a75d263af,noise_gate,0.2,Salma Hayek,Salma Hayek Pinault,0.0,0.8,1.0,0.6666666666666666,1103,7,0.00022620000000000002
5adef1b35542993a75d263af,noise_gate,0.25,Salma Hayek,Salma Hayek Pinault,0.0,0.8,1.0,0.6666666666666666,1103,7,0.00022620000000000002
5adef1b35542993a75d263af,noise_gate,0.3,Salma Hayek,Salma Hayek Pinault,0.0,0.8,1.0,0.6666666666666666,1103,7,0.00022620000000000002
5adef1b35542993a75d263af,noise_gate,0.35,Salma Hayek,Salma Hayek Pinault,0.0,0.8,1.0,0.6666666666666666,971,7,0.0001998
5adef1b35542993a75d263af,noise_gate,0.5,Salma Hayek,Salma Hayek Pinault,0.0,0.8,1.0,0.6666666666666666,154,7,3.6400000000000004e-05
5a73b55855429978a71e9086,noise_gate,0.2,Gatwick Airport,Gatwick Airport,1.0,1.0,1.0,1.0,1722,7,0.00035000000000000005
5a73b55855429978a71e9086,noise_gate,0.25,Gatwick Airport,Gatwick Airport,1.0,1.0,1.0,1.0,1722,7,0.00035000000000000005
5a73b55855429978a71e9086,noise_gate,0.3,Gatwick Airport,Gatwick Airport,1.0,1.0,1.0,1.0,1722,7,0.00035000000000000005
5a73b55855429978a71e9086,noise_gate,0.35,Gatwick Airport,Gatwick Airport,1.0,1.0,1.0,1.0,1722,7,0.00035000000000000005
5a73b55855429978a71e9086,noise_gate,0.5,Gatwick Airport,Gatwick Airport,1.0,1.0,1.0,1.0,435,7,9.26e-05
5ae80919554299540e5a56f6,noise_gate,0.2,Cairnburgh Castle,The Changing Scottish Landscape,0.0,0.0,0.0,0.0,1133,9,0.00023380000000000005
5ae80919554299540e5a56f6,noise_gate,0.25,The Changing Scottish Landscape,The Changing Scottish Landscape,1.0,1.0,1.0,1.0,1133,7,0.00023220000000000003
5ae80919554299540e5a56f6,noise_gate,0.3,The Changing Scottish Landscape,The Changing Scottish Landscape,1.0,1.0,1.0,1.0,931,7,0.00019180000000000003
5ae80919554299540e5a56f6,noise_gate,0.35,Cairnburgh Castle,The Changing Scottish Landscape,0.0,0.0,0.0,0.0,663,9,0.0001398
5ae80919554299540e5a56f6,noise_gate,0.5,Cairnburgh Castle,The Changing Scottish Landscape,0.0,0.0,0.0,0.0,183,9,4.38e-05
5ae361605542994393b9e69b,noise_gate,0.2,Home of the Submarine Force,"""Home of the Submarine Force""",1.0,1.0,1.0,1.0,1069,9,0.00022100000000000003
5ae361605542994393b9e69b,noise_gate,0.25,Naval Submarine Base New London,"""Home of the Submarine Force""",0.0,0.22222222222222224,0.2,0.25,681,10,0.0001442
5ae361605542994393b9e69b,noise_gate,0.3,Home of the Submarine Force,"""Home of the Submarine Force""",1.0,1.0,1.0,1.0,681,9,0.00014340000000000002
5ae361605542994393b9e69b,noise_gate,0.35,US Naval Submarine Base New London,"""Home of the Submarine Force""",0.0,0.2,0.16666666666666666,0.25,464,10,0.00010080000000000001
5ae361605542994393b9e69b,noise_gate,0.5,submarine escape training tank,"""Home of the Submarine Force""",0.0,0.25,0.25,0.25,283,8,6.3e-05
5ac3a76e554299741d48a2be,noise_gate,0.2,U2,U2,1.0,1.0,1.0,1.0,1057,5,0.0002154
5ac3a76e554299741d48a2be,noise_gate,0.25,U2,U2,1.0,1.0,1.0,1.0,1057,5,0.0002154
5ac3a76e554299741d48a2be,noise_gate,0.3,U2,U2,1.0,1.0,1.0,1.0,765,5,0.000157
5ac3a76e554299741d48a2be,noise_gate,0.35,U2,U2,1.0,1.0,1.0,1.0,611,5,0.0001262
5ac3a76e554299741d48a2be,noise_gate,0.5,U2,U2,1.0,1.0,1.0,1.0,319,5,6.780000000000001e-05
5a7557d75542992d0ec05f68,noise_gate,0.2,Laurie Metcalf,Laurie Metcalf,1.0,1.0,1.0,1.0,1675,8,0.0003414
5a7557d75542992d0ec05f68,noise_gate,0.25,Laurie Metcalf,Laurie Metcalf,1.0,1.0,1.0,1.0,1675,8,0.0003414
5a7557d75542992d0ec05f68,noise_gate,0.3,Laurie Metcalf,Laurie Metcalf,1.0,1.0,1.0,1.0,1675,8,0.0003414
5a7557d75542992d0ec05f68,noise_gate,0.35,Laurie Metcalf,Laurie Metcalf,1.0,1.0,1.0,1.0,1566,8,0.0003196
5a7557d75542992d0ec05f68,noise_gate,0.5,Laurie Metcalf,Laurie Metcalf,1.0,1.0,1.0,1.0,764,8,0.0001592
5a8d12ca5542994ba4e3dbe2,noise_gate,0.2,Nairobi,"Nairobi, Kenya",0.0,0.6666666666666666,1.0,0.5,796,5,0.0001632
5a8d12ca5542994ba4e3dbe2,noise_gate,0.25,Nairobi,"Nairobi, Kenya",0.0,0.6666666666666666,1.0,0.5,326,5,6.92e-05
5a8d12ca5542994ba4e3dbe2,noise_gate,0.3,Nairobi,"Nairobi, Kenya",0.0,0.6666666666666666,1.0,0.5,326,5,6.92e-05
5a8d12ca5542994ba4e3dbe2,noise_gate,0.35,Nairobi,"Nairobi, Kenya",0.0,0.6666666666666666,1.0,0.5,326,5,6.92e-05
5a8d12ca5542994ba4e3dbe2,noise_gate,0.5,"Nairobi, Kenya","Nairobi, Kenya",1.0,1.0,1.0,1.0,326,7,7.08e-05
5ab7f6d35542993667794070,noise_gate,0.2,Cyclic Defrost,Cyclic Defrost,1.0,1.0,1.0,1.0,1611,7,0.00032780000000000005
5ab7f6d35542993667794070,noise_gate,0.25,Cyclic Defrost,Cyclic Defrost,1.0,1.0,1.0,1.0,1611,7,0.00032780000000000005
5ab7f6d35542993667794070,noise_gate,0.3,Cyclic Defrost,Cyclic Defrost,1.0,1.0,1.0,1.0,1550,7,0.0003156
5ab7f6d35542993667794070,noise_gate,0.35,Cyclic Defrost,Cyclic Defrost,1.0,1.0,1.0,1.0,881,7,0.00018180000000000003
5ab7f6d35542993667794070,noise_gate,0.5,Cyclic Defrost,Cyclic Defrost,1.0,1.0,1.0,1.0,278,7,6.12e-05
