question_id,method,k,answer_pred,answer_gt,em,f1,precision,recall,input_tokens,output_tokens,cost_usd,selected_titles
5ae143ed55429920d5234360,ucb1,2,noanswer,1755,0.0,0.0,0.0,0.0,323,2,4.965e-05,"[""Sergei Roshchin"", ""Moscow State University""]"
5ae143ed55429920d5234360,ucb1,3,noanswer,1755,0.0,0.0,0.0,0.0,421,2,6.435e-05,"[""Sergei Roshchin"", ""Moscow State University"", ""Sergei Sholokhov""]"
5ae143ed55429920d5234360,ucb1,5,noanswer,1755,0.0,0.0,0.0,0.0,635,2,9.645e-05,"[""Sergei Roshchin"", ""Moscow State University"", ""Sergei Sholokhov"", ""Sergei Kornilenko"", ""Sergei Chikildin""]"
5abc19705542993a06baf86e,ucb1,2,noanswer,Dutch,0.0,0.0,0.0,0.0,457,2,6.975e-05,"[""Black Book (World War II)"", ""Black Book of the Admiralty""]"
5abc19705542993a06baf86e,ucb1,3,noanswer,Dutch,0.0,0.0,0.0,0.0,515,2,7.845e-05,"[""Black Book (World War II)"", ""Black Book of the Admiralty"", ""Black Book (non-standard disc format)""]"
5abc19705542993a06baf86e,ucb1,5,Jewish,Dutch,0.0,0.0,0.0,0.0,773,2,0.00011714999999999999,"[""Black Book (World War II)"", ""Black Book of the Admiralty"", ""Black Book (non-standard disc format)"", ""Books of Clanranald"", ""Black Book (novel)""]"
5ac3e0f7554299194317388b,ucb1,2,noanswer,Kevin Spacey,0.0,0.0,0.0,0.0,284,2,4.38e-05,"[""Miss American Beauty 1963"", ""American Beauty (1927 film)""]"
5ac3e0f7554299194317388b,ucb1,3,noanswer,Kevin Spacey,0.0,0.0,0.0,0.0,491,2,7.484999999999999e-05,"[""Miss American Beauty 1963"", ""American Beauty (1927 film)"", ""List of accolades received by American Beauty""]"
5ac3e0f7554299194317388b,ucb1,5,Kevin Spacey,Kevin Spacey,1.0,1.0,1.0,1.0,735,3,0.00011205,"[""Miss American Beauty 1963"", ""American Beauty (1927 film)"", ""List of accolades received by American Beauty"", ""Coty, Inc."", ""La Belle Am\u00e9ricaine""]"
5ae518655542993aec5ec139,ucb1,2,40,40 members,0.0,0.6666666666666666,1.0,0.5,288,1,4.3799999999999994e-05,"[""Wisconsin Legislature"", ""Florida Senate""]"
5ae518655542993aec5ec139,ucb1,3,40,40 members,0.0,0.6666666666666666,1.0,0.5,532,1,8.04e-05,"[""Wisconsin Legislature"", ""Florida Senate"", ""Murtaza Ahmed Khan""]"
5ae518655542993aec5ec139,ucb1,5,40,40 members,0.0,0.6666666666666666,1.0,0.5,738,1,0.00011130000000000001,"[""Wisconsin Legislature"", ""Florida Senate"", ""Murtaza Ahmed Khan"", ""Ken Pruitt"", ""Senate of Burkina Faso""]"
5ab985eb554299131ca42360,ucb1,2,noanswer,Greyia,0.0,0.0,0.0,0.0,468,2,7.14e-05,"[""Calyptocephalellidae"", ""List of Amanita species""]"
5ab985eb554299131ca42360,ucb1,3,noanswer,Greyia,0.0,0.0,0.0,0.0,686,2,0.0001041,"[""Calyptocephalellidae"", ""List of Amanita species"", ""Megalurus""]"
5ab985eb554299131ca42360,ucb1,5,noanswer,Greyia,0.0,0.0,0.0,0.0,1064,2,0.0001608,"[""Calyptocephalellidae"", ""List of Amanita species"", ""Megalurus"", ""Leptofoenus"", ""Banksiamyces""]"
5a8753d95542994846c1cd63,ucb1,2,no,yes,0.0,0.0,0.0,0.0,284,1,4.32e-05,"[""Tom Clancy's Ghost Recon 2: Summit Strike"", ""Tom Clancy's Net Force Explorers: Deathworld""]"
5a8753d95542994846c1cd63,ucb1,3,no,yes,0.0,0.0,0.0,0.0,346,1,5.25e-05,"[""Tom Clancy's Ghost Recon 2: Summit Strike"", ""Tom Clancy's Net Force Explorers: Deathworld"", ""Tom Clancy's Net Force Explorers: Safe House""]"
5a8753d95542994846c1cd63,ucb1,5,no,yes,0.0,0.0,0.0,0.0,584,1,8.819999999999999e-05,"[""Tom Clancy's Ghost Recon 2: Summit Strike"", ""Tom Clancy's Net Force Explorers: Deathworld"", ""Tom Clancy's Net Force Explorers: Safe House"", ""John Updike"", ""Tom Clancy""]"
5ab97d0a5542996be202051e,ucb1,2,noanswer,John André,0.0,0.0,0.0,0.0,530,2,8.07e-05,"[""1st Virginia State Regiment"", ""Benjamin Lincoln""]"
5ab97d0a5542996be202051e,ucb1,3,noanswer,John André,0.0,0.0,0.0,0.0,606,2,9.209999999999999e-05,"[""1st Virginia State Regiment"", ""Benjamin Lincoln"", ""Battle of Germantown""]"
5ab97d0a5542996be202051e,ucb1,5,noanswer,John André,0.0,0.0,0.0,0.0,945,2,0.00014295,"[""1st Virginia State Regiment"", ""Benjamin Lincoln"", ""Battle of Germantown"", ""Siege of Yorktown"", ""Benedict Arnold""]"
5adef1b35542993a75d263af,ucb1,2,noanswer,Salma Hayek Pinault,0.0,0.0,0.0,0.0,414,2,6.33e-05,"[""Emmanuel Curtil"", ""B\u00e9atrice Picard""]"
5adef1b35542993a75d263af,ucb1,3,noanswer,Salma Hayek Pinault,0.0,0.0,0.0,0.0,465,2,7.095e-05,"[""Emmanuel Curtil"", ""B\u00e9atrice Picard"", ""Doroth\u00e9e Jemma""]"
5adef1b35542993a75d263af,ucb1,5,Salma Hayek,Salma Hayek Pinault,0.0,0.8,1.0,0.6666666666666666,657,4,0.00010095,"[""Emmanuel Curtil"", ""B\u00e9atrice Picard"", ""Doroth\u00e9e Jemma"", ""Ethel Houbiers"", ""Salma Hayek""]"
5a73b55855429978a71e9086,ucb1,2,Gatwick Airport,Gatwick Airport,1.0,1.0,1.0,1.0,394,4,6.149999999999999e-05,"[""Gatwick Airport"", ""Dubai International Airport""]"
5a73b55855429978a71e9086,ucb1,3,Gatwick Airport,Gatwick Airport,1.0,1.0,1.0,1.0,606,4,9.329999999999999e-05,"[""Gatwick Airport"", ""Dubai International Airport"", ""Grantley Adams International Airport""]"
5a73b55855429978a71e9086,ucb1,5,Gatwick Airport,Gatwick Airport,1.0,1.0,1.0,1.0,1041,4,0.00015855,"[""Gatwick Airport"", ""Dubai International Airport"", ""Grantley Adams International Airport"", ""Coimbatore International Airport"", ""Vancouver International Airport""]"
5ae80919554299540e5a56f6,ucb1,2,noanswer,The Changing Scottish Landscape,0.0,0.0,0.0,0.0,266,2,4.11e-05,"[""Abergairn Castle"", ""Scharfenstein Castle (Kiedrich)""]"
5ae80919554299540e5a56f6,ucb1,3,Abergairn Castle,The Changing Scottish Landscape,0.0,0.0,0.0,0.0,390,5,6.15e-05,"[""Abergairn Castle"", ""Scharfenstein Castle (Kiedrich)"", ""Inch Castle""]"
5ae80919554299540e5a56f6,ucb1,5,Abergairn Castle,The Changing Scottish Landscape,0.0,0.0,0.0,0.0,617,5,9.555e-05,"[""Abergairn Castle"", ""Scharfenstein Castle (Kiedrich)"", ""Inch Castle"", ""Ch\u00e2teau de Longwy"", ""Clun Castle""]"
5ae361605542994393b9e69b,ucb1,2,Joint Regional Correctional Facility Southwest,"""Home of the Submarine Force""",0.0,0.0,0.0,0.0,375,6,5.985e-05,"[""Music Instructor"", ""Naval Consolidated Brig, Miramar""]"
5ae361605542994393b9e69b,ucb1,3,noanswer,"""Home of the Submarine Force""",0.0,0.0,0.0,0.0,442,2,6.75e-05,"[""Music Instructor"", ""Naval Consolidated Brig, Miramar"", ""RAF Croft""]"
5ae361605542994393b9e69b,ucb1,5,noanswer,"""Home of the Submarine Force""",0.0,0.0,0.0,0.0,590,2,8.97e-05,"[""Music Instructor"", ""Naval Consolidated Brig, Miramar"", ""RAF Croft"", ""Naval Submarine Base New London"", ""Lara Croft: Tomb Raider""]"
5ac3a76e554299741d48a2be,ucb1,2,U2,U2,1.0,1.0,1.0,1.0,461,2,7.034999999999999e-05,"[""Win (film)"", ""The Fly (song)""]"
5ac3a76e554299741d48a2be,ucb1,3,U2,U2,1.0,1.0,1.0,1.0,612,2,9.3e-05,"[""Win (film)"", ""The Fly (song)"", ""Jai Ho! (You Are My Destiny)""]"
5ac3a76e554299741d48a2be,ucb1,5,U2,U2,1.0,1.0,1.0,1.0,914,2,0.0001383,"[""Win (film)"", ""The Fly (song)"", ""Jai Ho! (You Are My Destiny)"", ""Govinda Jaya Jaya"", ""U218 Singles""]"
5a7557d75542992d0ec05f68,ucb1,2,noanswer,Laurie Metcalf,0.0,0.0,0.0,0.0,305,2,4.695e-05,"[""Scream 2 (Markus Schulz album)"", ""Rebecca Gayheart""]"
5a7557d75542992d0ec05f68,ucb1,3,Bobby Gaylor,Laurie Metcalf,0.0,0.0,0.0,0.0,414,4,6.45e-05,"[""Scream 2 (Markus Schulz album)"", ""Rebecca Gayheart"", ""Bobby Gaylor""]"
5a7557d75542992d0ec05f68,ucb1,5,Laurie Metcalf,Laurie Metcalf,1.0,1.0,1.0,1.0,902,5,0.00013829999999999997,"[""Scream 2 (Markus Schulz album)"", ""Rebecca Gayheart"", ""Bobby Gaylor"", ""Timothy Olyphant"", ""Laurie Metcalf""]"
5a8d12ca5542994ba4e3dbe2,ucb1,2,noanswer,"Nairobi, Kenya",0.0,0.0,0.0,0.0,378,2,5.79e-05,"[""National Convention Party (Gambia)"", ""Fly540""]"
5a8d12ca5542994ba4e3dbe2,ucb1,3,noanswer,"Nairobi, Kenya",0.0,0.0,0.0,0.0,450,2,6.87e-05,"[""National Convention Party (Gambia)"", ""Fly540"", ""Goldie &amp; McCulloch""]"
5a8d12ca5542994ba4e3dbe2,ucb1,5,Dar es Salaam,"Nairobi, Kenya",0.0,0.0,0.0,0.0,644,3,9.839999999999999e-05,"[""National Convention Party (Gambia)"", ""Fly540"", ""Goldie &amp; McCulloch"", ""Fastjet Tanzania"", ""Christian Brothers College, St Kilda""]"
5ab7f6d35542993667794070,ucb1,2,noanswer,Cyclic Defrost,0.0,0.0,0.0,0.0,530,2,8.07e-05,"[""Sixtoo"", ""In\u00e9z""]"
5ab7f6d35542993667794070,ucb1,3,noanswer,Cyclic Defrost,0.0,0.0,0.0,0.0,620,2,9.42e-05,"[""Sixtoo"", ""In\u00e9z"", ""Experimental hip hop""]"
5ab7f6d35542993667794070,ucb1,5,noanswer,Cyclic Defrost,0.0,0.0,0.0,0.0,941,2,0.00014235000000000002,"[""Sixtoo"", ""In\u00e9z"", ""Experimental hip hop"", ""List of sound artists"", ""Beautiful Eulogy""]"
5ac3d9135542995c82c4ac4c,ucb1,2,noanswer,729 at the 2010 census,0.0,0.0,0.0,0.0,385,2,5.895e-05,"[""Buchanan Township, Atchison County, Missouri"", ""George H. Williams Townhouses""]"
5ac3d9135542995c82c4ac4c,ucb1,3,729,729 at the 2010 census,0.0,0.4,1.0,0.25,428,1,6.48e-05,"[""Buchanan Township, Atchison County, Missouri"", ""George H. Williams Townhouses"", ""Nelson, New Hampshire""]"
5ac3d9135542995c82c4ac4c,ucb1,5,729,729 at the 2010 census,0.0,0.4,1.0,0.25,1247,1,0.00018764999999999998,"[""Buchanan Township, Atchison County, Missouri"", ""George H. Williams Townhouses"", ""Nelson, New Hampshire"", ""Dade County, Georgia"", ""Franklin Street Presbyterian Church and Parsonage""]"
5ae129115542990adbacf722,ucb1,2,Francis McPeake,Francis McPeake,1.0,1.0,1.0,1.0,457,5,7.155e-05,"[""A Pair of Brown Eyes"", ""Wild Mountain Thyme""]"
5ae129115542990adbacf722,ucb1,3,Shane MacGowan,Francis McPeake,0.0,0.0,0.0,0.0,725,5,0.00011175,"[""A Pair of Brown Eyes"", ""Wild Mountain Thyme"", ""Crystal Gayle singles discography""]"
5ae129115542990adbacf722,ucb1,5,Francis McPeake,Francis McPeake,1.0,1.0,1.0,1.0,1374,5,0.0002091,"[""A Pair of Brown Eyes"", ""Wild Mountain Thyme"", ""Crystal Gayle singles discography"", ""Bakhmull"", ""A Spanner in the Works""]"
5a86769c5542994775f60776,ucb1,2,Slaughterhouse-Five,Slaughterhouse-Five,1.0,1.0,1.0,1.0,537,5,8.355e-05,"[""Jos\u00e9 Mar\u00eda Gironella"", ""Kurt Vonnegut""]"
5a86769c5542994775f60776,ucb1,3,Slaughterhouse-Five,Slaughterhouse-Five,1.0,1.0,1.0,1.0,691,5,0.00010664999999999999,"[""Jos\u00e9 Mar\u00eda Gironella"", ""Kurt Vonnegut"", ""The Magic Christian (novel)""]"
5a86769c5542994775f60776,ucb1,5,Slaughterhouse-Five,Slaughterhouse-Five,1.0,1.0,1.0,1.0,898,5,0.00013769999999999999,"[""Jos\u00e9 Mar\u00eda Gironella"", ""Kurt Vonnegut"", ""The Magic Christian (novel)"", ""Little Big Man (novel)"", ""Hugh Gallagher (humorist)""]"
5ab31864554299233954ff06,ucb1,2,Sarod,strings,0.0,0.0,0.0,0.0,354,2,5.4300000000000005e-05,"[""Sarod"", ""Apratim Majumdar""]"
5ab31864554299233954ff06,ucb1,3,Sarod,strings,0.0,0.0,0.0,0.0,502,2,7.65e-05,"[""Sarod"", ""Apratim Majumdar"", ""Bukkehorn""]"
