model,qid,question,ground_truth,method,answer,input_tokens,output_tokens,total_tokens,llm_calls,docs_retrieved,routed_to,f1,exact_match,cost_usd,efficiency,lambda_cost
claude_haiku_4_5,5ae143ed55429920d5234360,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,cart_base,"I don't have information about when Moscow State University was founded in the provided context. The context only states that Tokarev was a professor there, but doesn't include the university's founding date.",142,44,186,1,1,retrieve,0.0,0,0.000362,0.0,
claude_haiku_4_5,5ae143ed55429920d5234360,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,cart_noise,1755,301,6,307,1,2,retrieve,1.0,1,0.000331,0.17452,
claude_haiku_4_5,5ae143ed55429920d5234360,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,cart_full,"I need to find information about Sergei Aleksandrovich Tokarev and the university where he was a professor.

Sergei Aleksandrovich Tokarev was a Soviet ethnographer and anthropologist who was a professor",47,50,97,1,0,think,0.0,0,0.000297,0.0,1.0
claude_haiku_4_5,5abc19705542993a06baf86e,Black Book starred the actress and writer of what heritage?,Dutch,cart_base,"Based on the context provided, I cannot determine the heritage of the actresses mentioned (Carice van Houten, Halina Reijn) as the context does not include information about their backgrounds or heritage.",337,47,384,1,2,retrieve,0.0,0,0.000572,0.0,
claude_haiku_4_5,5abc19705542993a06baf86e,Black Book starred the actress and writer of what heritage?,Dutch,cart_noise,"I need to find information about an actress and writer associated with Black Book who has a specific heritage.

From the film context, Carice van Houten is listed as starring in Black Book (2006). However, the context doesn't",589,50,639,1,4,retrieve,0.0,0,0.000839,0.0,
claude_haiku_4_5,5abc19705542993a06baf86e,Black Book starred the actress and writer of what heritage?,Dutch,cart_full,"I need to find information about an actress and writer associated with Black Book who has a specific heritage.

From the film context, Carice van Houten is listed as starring in Black Book (2006). However, the context doesn't",589,50,639,1,4,retrieve,0.0,0,0.000839,0.0,1.0
claude_haiku_4_5,5ac3e0f7554299194317388b,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,cart_base,"No actors in common.

(The 1999 film and 1927 film share no actors - they are from different eras with different casts.)",601,37,638,1,4,retrieve,0.0,0,0.000786,0.0,
claude_haiku_4_5,5ac3e0f7554299194317388b,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,cart_noise,Kevin Spacey,839,7,846,1,6,retrieve,1.0,1,0.000874,0.14833,
claude_haiku_4_5,5ac3e0f7554299194317388b,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,cart_full,Kevin Spacey,839,7,846,1,6,retrieve,1.0,1,0.000874,0.14833,1.0
claude_haiku_4_5,5ae518655542993aec5ec139,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,cart_base,40 members,1014,7,1021,1,8,retrieve,1.0,1,0.001049,0.14431,
