question_id,question,ground_truth,method,answer,f1_score,exact_match,input_tokens,output_tokens,total_tokens,cost_usd,efficiency,llm_calls,docs_retrieved,avg_similarity
0,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,always_think,1755,1.0,1,79,68,147,5.3e-05,0.20011,1,,
0,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,always_retrieve_k3,1755,1.0,1,362,56,418,8.8e-05,0.16562,1,3,0.4867
0,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,always_retrieve_k5,1755,1.0,1,556,56,612,0.000117,0.1558,1,5,0.4185
1,Black Book starred the actress and writer of what heritage?,Dutch,always_think,Dutch,1.0,1,69,67,136,5.1e-05,0.20325,1,,
1,Black Book starred the actress and writer of what heritage?,Dutch,always_retrieve_k3,Dutch heritage.,0.6667,0,501,63,564,0.000113,0.10521,1,3,0.4321
1,Black Book starred the actress and writer of what heritage?,Dutch,always_retrieve_k5,Dutch heritage,0.6667,0,737,60,797,0.000147,0.09977,1,5,0.3915
2,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,always_think,Kevin Spacey,1.0,1,70,66,136,5e-05,0.20325,1,,
2,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,always_retrieve_k3,Kevin Spacey,1.0,1,484,52,536,0.000104,0.15908,1,3,0.6529
2,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,always_retrieve_k5,Kevin Spacey,1.0,1,686,100,786,0.000163,0.14996,1,5,0.6048
3,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,always_think,40 members,1.0,1,79,44,123,3.8e-05,0.20746,1,,
3,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,always_retrieve_k3,40 members,1.0,1,401,54,455,9.3e-05,0.16333,1,3,0.4741
3,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,always_retrieve_k5,40 members,1.0,1,569,70,639,0.000127,0.15476,1,5,0.4523
4,"Between Greyia and Calibanus, which genus contains more species?",Greyia,always_think,Greyia contains more species than Calibanus.,0.2857,0,72,129,201,8.8e-05,0.05382,1,,
4,"Between Greyia and Calibanus, which genus contains more species?",Greyia,always_retrieve_k3,Greyia contains more species than Calibanus.,0.2857,0,439,76,515,0.000111,0.04574,1,3,0.5461
4,"Between Greyia and Calibanus, which genus contains more species?",Greyia,always_retrieve_k5,Greyia contains more species than Calibanus.,0.2857,0,700,76,776,0.000151,0.04293,1,5,0.4777
