question_id,question,ground_truth,method,answer,f1_score,exact_match,input_tokens,output_tokens,total_tokens,cost_usd,efficiency,llm_calls,docs_retrieved,avg_similarity
0,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,always_think,1724,0.0,0,84,143,227,0.000799,0.0,1,,
0,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,always_retrieve_k3,1755,1.0,1,404,96,500,0.000884,0.16086,1,3,0.4867
0,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,always_retrieve_k5,1755,1.0,1,621,102,723,0.001131,0.15187,1,5,0.4185
1,Black Book starred the actress and writer of what heritage?,Dutch,always_think,"I cannot provide a definitive answer as the premise appears to be inaccurate - the actress in ""Black Book"" was not",0.0,0,72,300,372,0.001572,0.0,1,,
1,Black Book starred the actress and writer of what heritage?,Dutch,always_retrieve_k3,Jewish,0.0,0,562,261,823,0.001867,0.0,1,3,0.4321
1,Black Book starred the actress and writer of what heritage?,Dutch,always_retrieve_k5,"I cannot provide a definitive answer based on the context provided. While the 2006 film ""Black Book"" stars Carice van Houten, Sebastian Koch, Thom Hoffman, and Halina Reijn, the context does not contain information about which cast member is both an actress and writer, nor does it specify anyone's heritage.",0.0,0,820,300,1120,0.00232,0.0,1,5,0.3915
2,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,always_think,"This question appears to contain a redundancy as it mentions ""American Beauty"" twice. If asking about actors in the 1999 film ""American Beauty,"" all cast members appear in both references. The most prominent actor is **Kevin Spacey**, who played the lead role.",0.1,0,73,276,349,0.001453,0.01707,1,,
2,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,always_retrieve_k3,"Kevin Spacey (though Annette Bening also appears in multiple contexts). Kevin Spacey is the most prominent, starring as the main character Lester Burnham.",0.1739,0,555,255,810,0.00183,0.02596,1,3,0.6529
2,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,always_retrieve_k5,"There is no actor in common between the 1999 ""American Beauty"" and the 1927 ""American Beauty."" The two films, made 72 years apart, have completely different casts.",0.0,0,784,288,1072,0.002224,0.0,1,5,0.6048
3,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,always_think,40,0.6667,0,82,112,194,0.000642,0.12643,1,,
