question_id,question,ground_truth,method,answer,f1_score,exact_match,input_tokens,output_tokens,total_tokens,cost_usd,efficiency,llm_calls,docs_retrieved,avg_similarity
0,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,always_think,1755,1.0,1,78,60,138,0.000328,0.20266,1,,
0,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,always_retrieve_k3,1755,1.0,1,361,56,417,0.000523,0.16569,1,3,0.4867
0,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,always_retrieve_k5,1755,1.0,1,555,56,611,0.000668,0.15584,1,5,0.4185
1,Black Book starred the actress and writer of what heritage?,Dutch,always_think,Dutch heritage,0.6667,0,68,42,110,0.00024,0.14156,1,,
1,Black Book starred the actress and writer of what heritage?,Dutch,always_retrieve_k3,Dutch heritage,0.6667,0,500,50,550,0.0006,0.10562,1,3,0.4321
1,Black Book starred the actress and writer of what heritage?,Dutch,always_retrieve_k5,Dutch heritage,0.6667,0,736,53,789,0.00079,0.09992,1,5,0.3915
2,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,always_think,Kevin Spacey,1.0,1,69,60,129,0.000322,0.20544,1,,
2,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,always_retrieve_k3,Kevin Spacey,1.0,1,483,78,561,0.000713,0.15794,1,3,0.6529
2,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,always_retrieve_k5,Kevin Spacey,1.0,1,685,70,755,0.000829,0.15087,1,5,0.6048
3,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,always_think,40 members,1.0,1,78,49,127,0.000279,0.2061,1,,
3,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,always_retrieve_k3,Not specified in the provided context.,0.0,0,400,160,560,0.00102,0.0,1,3,0.4741
3,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,always_retrieve_k5,40 members,1.0,1,568,44,612,0.000624,0.1558,1,5,0.4523
4,"Between Greyia and Calibanus, which genus contains more species?",Greyia,always_think,Greyia,1.0,1,71,56,127,0.000305,0.2061,1,,
4,"Between Greyia and Calibanus, which genus contains more species?",Greyia,always_retrieve_k3,Greyia,1.0,1,438,45,483,0.000531,0.16176,1,3,0.5461
4,"Between Greyia and Calibanus, which genus contains more species?",Greyia,always_retrieve_k5,Greyia,1.0,1,699,45,744,0.000727,0.15121,1,5,0.4777
5,Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,always_think,No.,0.0,0,75,68,143,0.000362,0.0,1,,
5,Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,always_retrieve_k3,"No. Tom Clancy did, but the context does not say John Updike published more than 15 bestselling novels.",0.0,0,463,88,551,0.000743,0.0,1,3,0.4843
5,Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,always_retrieve_k5,No.,0.0,0,584,67,651,0.00074,0.0,1,5,0.4237
6,Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,always_think,Major John André,0.8,0,79,87,166,0.000451,0.15631,1,,
6,Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,always_retrieve_k3,John André,1.0,1,438,70,508,0.000643,0.16045,1,3,0.5378
6,Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,always_retrieve_k5,John André,1.0,1,816,67,883,0.000914,0.1474,1,5,0.4688
7,which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,always_think,Salma Hayek,0.8,0,74,64,138,0.000343,0.16212,1,,
7,which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,always_retrieve_k3,Salma Hayek,0.8,0,215,50,265,0.000386,0.14328,1,3,0.52
7,which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,always_retrieve_k5,Salma Hayek,0.8,0,412,69,481,0.000619,0.12949,1,5,0.4822
8,Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,always_think,London Heathrow Airport,0.4,0,82,72,154,0.000385,0.07931,1,,
8,Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,always_retrieve_k3,Gatwick Airport,1.0,1,397,72,469,0.000622,0.16253,1,3,0.6534
8,Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,always_retrieve_k5,Gatwick Airport,1.0,1,844,72,916,0.000957,0.1466,1,5,0.5692
9,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,The Changing Scottish Landscape,always_think,W. Douglas Simpson,0.0,0,79,62,141,0.000338,0.0,1,,
9,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,The Changing Scottish Landscape,always_retrieve_k3,*The Changing Scottish Landscape* (1991),0.8571,0,319,68,387,0.000545,0.14379,1,3,0.4876
9,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,The Changing Scottish Landscape,always_retrieve_k5,*The Changing Scottish Landscape* (1991),0.8571,0,623,79,702,0.000823,0.13075,1,5,0.4565
10,The facility where Robert Croft worked as a navy instructor was also known as?,"""Home of the Submarine Force""",always_think,Annapolis,0.0,0,73,43,116,0.000248,0.0,1,,
10,The facility where Robert Croft worked as a navy instructor was also known as?,"""Home of the Submarine Force""",always_retrieve_k3,"US Naval Submarine Base New London submarine school in Groton, Connecticut",0.1333,0,375,131,506,0.000871,0.02141,1,3,0.4816
10,The facility where Robert Croft worked as a navy instructor was also known as?,"""Home of the Submarine Force""",always_retrieve_k5,the “Home of the Submarine Force”,0.5,0,644,66,710,0.00078,0.07614,1,5,0.425
11,"Who released the song ""With or Without You"" first, Jai McDowall or U2?",U2,always_think,U2 released it first.,0.4,0,77,59,136,0.000323,0.0813,1,,
