question_id,question,ground_truth,method,answer,f1_score,exact_match,input_tokens,output_tokens,total_tokens,cost_usd,efficiency,llm_calls,docs_retrieved,avg_similarity
0,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,always_think,1632,0.0,0,79,42,121,3.7e-05,0.0,1,,
0,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,always_retrieve_k3,1755,1.0,1,362,60,422,9e-05,0.16536,1,3,0.4867
0,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,always_retrieve_k5,1755,1.0,1,556,56,612,0.000117,0.1558,1,5,0.4185
1,Black Book starred the actress and writer of what heritage?,Dutch,always_think,Dutch,1.0,1,69,67,136,5.1e-05,0.20325,1,,
1,Black Book starred the actress and writer of what heritage?,Dutch,always_retrieve_k3,Dutch,1.0,1,501,88,589,0.000128,0.15674,1,3,0.4321
1,Black Book starred the actress and writer of what heritage?,Dutch,always_retrieve_k5,Dutch,1.0,1,737,62,799,0.000148,0.1496,1,5,0.3915
2,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,always_think,Kevin Spacey,1.0,1,70,113,183,7.8e-05,0.19176,1,,
2,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,always_retrieve_k3,Kevin Spacey,1.0,1,484,56,540,0.000106,0.1589,1,3,0.6529
2,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,always_retrieve_k5,Kevin Spacey,1.0,1,686,100,786,0.000163,0.14996,1,5,0.6048
3,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,always_think,40 members,1.0,1,79,44,123,3.8e-05,0.20746,1,,
3,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,always_retrieve_k3,40 members,1.0,1,401,85,486,0.000111,0.1616,1,3,0.4741
3,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,always_retrieve_k5,40 members,1.0,1,569,70,639,0.000127,0.15476,1,5,0.4523
4,"Between Greyia and Calibanus, which genus contains more species?",Greyia,always_think,Calibanus contains more species than Greyia.,0.2857,0,72,120,192,8.3e-05,0.05429,1,,
4,"Between Greyia and Calibanus, which genus contains more species?",Greyia,always_retrieve_k3,Greyia contains more species than Calibanus.,0.2857,0,439,76,515,0.000111,0.04574,1,3,0.5461
4,"Between Greyia and Calibanus, which genus contains more species?",Greyia,always_retrieve_k5,Greyia contains more species than Calibanus.,0.2857,0,700,76,776,0.000151,0.04293,1,5,0.4777
5,Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,always_think,"No, John Updike did not publish more than 15 bestselling novels, but Tom Clancy did.",0.0,0,76,164,240,0.00011,0.0,1,,
5,Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,always_retrieve_k3,"No, only Tom Clancy is confirmed to have published more than 15 bestselling novels.",0.0,0,464,85,549,0.000121,0.0,1,3,0.4843
5,Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,always_retrieve_k5,"No, we cannot confirm that John Updike published more than 15 bestselling novels.",0.0,0,585,111,696,0.000154,0.0,1,5,0.4237
6,Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,always_think,John André,1.0,1,80,122,202,8.5e-05,0.18821,1,,
6,Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,always_retrieve_k3,John André,1.0,1,439,75,514,0.000111,0.16015,1,3,0.5378
6,Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,always_retrieve_k5,John André,1.0,1,817,63,880,0.00016,0.14747,1,5,0.4689
7,which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,always_think,"Ethel Houbiers is the French voice of Mulan, originally voiced by Ming-Na Wen in the American animated film.",0.0,0,75,128,203,8.8e-05,0.0,1,,
7,which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,always_retrieve_k3,Penélope Cruz and Salma Hayek,0.5,0,216,67,283,7.3e-05,0.08851,1,3,0.52
7,which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,always_retrieve_k5,Salma Hayek,0.8,0,413,99,512,0.000121,0.1282,1,5,0.4822
8,Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,always_think,London Gatwick Airport,0.8,0,83,116,199,8.2e-05,0.15099,1,,
8,Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,always_retrieve_k3,Gatwick Airport,1.0,1,398,55,453,9.3e-05,0.16345,1,3,0.6534
8,Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,always_retrieve_k5,Gatwick Airport,1.0,1,845,79,924,0.000174,0.14642,1,5,0.5692
9,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,The Changing Scottish Landscape,always_think,The ruined castle was characterized as one of the most isolated fortifications in Britain by Sir Walter Scott.,0.0,0,80,106,186,7.6e-05,0.0,1,,
9,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,The Changing Scottish Landscape,always_retrieve_k3,"""The Changing Scottish Landscape""",1.0,1,320,58,378,8.3e-05,0.16842,1,3,0.4876
9,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,The Changing Scottish Landscape,always_retrieve_k5,"""The Changing Scottish Landscape""",1.0,1,624,57,681,0.000128,0.15326,1,5,0.4566
10,The facility where Robert Croft worked as a navy instructor was also known as?,"""Home of the Submarine Force""",always_think,"The facility where Robert Croft worked as a navy instructor was also known as the ""Naval Training Center.""",0.0,0,74,97,171,6.9e-05,0.0,1,,
10,The facility where Robert Croft worked as a navy instructor was also known as?,"""Home of the Submarine Force""",always_retrieve_k3,US Naval Submarine Base New London,0.2,0,376,85,461,0.000107,0.0326,1,3,0.4816
10,The facility where Robert Croft worked as a navy instructor was also known as?,"""Home of the Submarine Force""",always_retrieve_k5,Naval Submarine Base New London,0.2222,0,645,98,743,0.000156,0.03361,1,5,0.4251
11,"Who released the song ""With or Without You"" first, Jai McDowall or U2?",U2,always_think,U2,1.0,1,78,94,172,6.8e-05,0.19405,1,,
11,"Who released the song ""With or Without You"" first, Jai McDowall or U2?",U2,always_retrieve_k3,U2,1.0,1,443,94,537,0.000123,0.15904,1,3,0.5853
11,"Who released the song ""With or Without You"" first, Jai McDowall or U2?",U2,always_retrieve_k5,U2,1.0,1,666,93,759,0.000156,0.15075,1,5,0.5103
12,"Which ""Roseanne"" star is in Scream 2?",Laurie Metcalf,always_think,Sara Gilbert,0.0,0,71,76,147,5.6e-05,0.0,1,,
12,"Which ""Roseanne"" star is in Scream 2?",Laurie Metcalf,always_retrieve_k3,Laurie Metcalf,1.0,1,555,65,620,0.000122,0.15549,1,3,0.547
12,"Which ""Roseanne"" star is in Scream 2?",Laurie Metcalf,always_retrieve_k5,Laurie Metcalf,1.0,1,854,65,919,0.000167,0.14653,1,5,0.526
13,In what city is the company that Fastjet Tanzania was originally founded as a part of prior to rebranding based?,"Nairobi, Kenya",always_think,"Nairobi, Kenya",1.0,1,81,47,128,4e-05,0.20577,1,,
13,In what city is the company that Fastjet Tanzania was originally founded as a part of prior to rebranding based?,"Nairobi, Kenya",always_retrieve_k3,"Nairobi, Kenya",1.0,1,481,55,536,0.000105,0.15908,1,3,0.4902
13,In what city is the company that Fastjet Tanzania was originally founded as a part of prior to rebranding based?,"Nairobi, Kenya",always_retrieve_k5,"Nairobi, Kenya",1.0,1,763,50,813,0.000144,0.14921,1,5,0.3809
14,"What is the name of the Australian specialist electronic music magazine that features avant-rock, experimental sound art, and experimental hip hop?",Cyclic Defrost,always_think,The Wire.,0.0,0,83,72,155,5.6e-05,0.0,1,,
14,"What is the name of the Australian specialist electronic music magazine that features avant-rock, experimental sound art, and experimental hip hop?",Cyclic Defrost,always_retrieve_k3,Cyclic Defrost,1.0,1,337,59,396,8.6e-05,0.16711,1,3,0.5022
14,"What is the name of the Australian specialist electronic music magazine that features avant-rock, experimental sound art, and experimental hip hop?",Cyclic Defrost,always_retrieve_k5,Cyclic Defrost,1.0,1,532,58,590,0.000115,0.1567,1,5,0.4496
15,What is the population of the city that Munsonville is in the northwest corner of?,729 at the 2010 census,always_think,"The population of Sullivan, where Munsonville is located, is approximately 600.",0.0,0,76,78,154,5.8e-05,0.0,1,,
15,What is the population of the city that Munsonville is in the northwest corner of?,729 at the 2010 census,always_retrieve_k3,729,0.4,0,374,76,450,0.000102,0.06545,1,3,0.5516
15,What is the population of the city that Munsonville is in the northwest corner of?,729 at the 2010 census,always_retrieve_k5,729,0.4,0,633,68,701,0.000136,0.06103,1,5,0.4741
16,A Pair of Brown Eyes and Wild Mountain Thyme is based from what artists song?,Francis McPeake,always_think,"The song ""A Pair of Brown Eyes"" is based on Shane MacGowan's work with The Pogues.",0.0,0,75,111,186,7.8e-05,0.0,1,,
16,A Pair of Brown Eyes and Wild Mountain Thyme is based from what artists song?,Francis McPeake,always_retrieve_k3,"""A Pair of Brown Eyes"" is based on ""Wild Mountain Thyme"" by Francis McPeake.",0.2667,0,478,110,588,0.000138,0.04181,1,3,0.5366
16,A Pair of Brown Eyes and Wild Mountain Thyme is based from what artists song?,Francis McPeake,always_retrieve_k5,"Francis McPeake's song ""Wild Mountain Thyme.""",0.25,0,751,91,842,0.000167,0.03711,1,5,0.5125
17,Armageddon in Retrospect was written by the author who was best known for what 1969 satire novel?,Slaughterhouse-Five,always_think,Slaughterhouse-Five,1.0,1,82,89,171,6.6e-05,0.19427,1,,
17,Armageddon in Retrospect was written by the author who was best known for what 1969 satire novel?,Slaughterhouse-Five,always_retrieve_k3,Slaughterhouse-Five,1.0,1,512,133,645,0.000157,0.15454,1,3,0.4438
17,Armageddon in Retrospect was written by the author who was best known for what 1969 satire novel?,Slaughterhouse-Five,always_retrieve_k5,Slaughterhouse-Five,1.0,1,742,112,854,0.000179,0.14812,1,5,0.3986
18,What class of instrument does Apatim Majumdar play?,strings,always_think,String instrument (sitar),0.0,0,70,76,146,5.6e-05,0.0,1,,
18,What class of instrument does Apatim Majumdar play?,strings,always_retrieve_k3,Stringed instrument (Sarod),0.0,0,436,68,504,0.000106,0.0,1,3,0.5271
18,What class of instrument does Apatim Majumdar play?,strings,always_retrieve_k5,Stringed instrument (Sarod),0.0,0,811,68,879,0.000162,0.0,1,5,0.4719
19," Which movie did Disney produce first,  The Many Adventures of Winnie the Pooh or Ride a Wild Pony?",Ride a Wild Pony,always_think,Ride a Wild Pony,1.0,1,80,87,167,6.4e-05,0.19516,1,,
19," Which movie did Disney produce first,  The Many Adventures of Winnie the Pooh or Ride a Wild Pony?",Ride a Wild Pony,always_retrieve_k3,Ride a Wild Pony,1.0,1,410,68,478,0.000102,0.16203,1,3,0.6346
