question_id,method,answer_pred,answer_gt,em,f1,precision,recall,input_tokens,output_tokens,cost_usd,k_star
5ae143ed55429920d5234360,adaptive_k,1755,1755,1.0,1.0,1.0,1.0,202,11,4.92e-05,1
5abc19705542993a06baf86e,adaptive_k,Dutch,Dutch,1.0,1.0,1.0,1.0,374,4,7.8e-05,2
5ac3e0f7554299194317388b,adaptive_k,Kevin Spacey,Kevin Spacey,1.0,1.0,1.0,1.0,591,6,0.000123,4
5ae518655542993aec5ec139,adaptive_k,40,40 members,0.0,0.6666666666666666,1.0,0.5,211,4,4.5400000000000006e-05,1
5ab985eb554299131ca42360,adaptive_k,Greyia,Greyia,1.0,1.0,1.0,1.0,254,5,5.4800000000000004e-05,2
5a8753d95542994846c1cd63,adaptive_k,no,yes,0.0,0.0,0.0,0.0,355,4,7.42e-05,2
5ab97d0a5542996be202051e,adaptive_k,John André,John André,1.0,1.0,1.0,1.0,477,5,9.94e-05,3
5adef1b35542993a75d263af,adaptive_k,Salma Hayek,Salma Hayek Pinault,0.0,0.8,1.0,0.6666666666666666,152,7,3.600000000000001e-05,1
5a73b55855429978a71e9086,adaptive_k,Gatwick Airport,Gatwick Airport,1.0,1.0,1.0,1.0,433,7,9.22e-05,3
5ae80919554299540e5a56f6,adaptive_k,Cairnburgh Castle,The Changing Scottish Landscape,0.0,0.0,0.0,0.0,181,9,4.3400000000000005e-05,1
5ae361605542994393b9e69b,adaptive_k,submarine escape training tank,"""Home of the Submarine Force""",0.0,0.25,0.25,0.25,281,8,6.26e-05,2
5ac3a76e554299741d48a2be,adaptive_k,U2,U2,1.0,1.0,1.0,1.0,239,5,5.1800000000000005e-05,1
5a7557d75542992d0ec05f68,adaptive_k,Laurie Metcalf,Laurie Metcalf,1.0,1.0,1.0,1.0,187,8,4.38e-05,1
5a8d12ca5542994ba4e3dbe2,adaptive_k,Nairobi,"Nairobi, Kenya",0.0,0.6666666666666666,1.0,0.5,324,5,6.88e-05,2
5ab7f6d35542993667794070,adaptive_k,Cyclic Defrost,Cyclic Defrost,1.0,1.0,1.0,1.0,276,7,6.08e-05,2
5ac3d9135542995c82c4ac4c,adaptive_k,729,729 at the 2010 census,0.0,0.4,1.0,0.25,210,4,4.52e-05,2
5ae129115542990adbacf722,adaptive_k,Wild Mountain Thyme,Francis McPeake,0.0,0.0,0.0,0.0,1236,7,0.00025279999999999996,8
5a86769c5542994775f60776,adaptive_k,Slaughterhouse-Five,Slaughterhouse-Five,1.0,1.0,1.0,1.0,245,8,5.54e-05,1
5ab31864554299233954ff06,adaptive_k,Sarod,strings,0.0,0.0,0.0,0.0,219,5,4.780000000000001e-05,1
5a7b1023554299042af8f6c2,adaptive_k,Ride a Wild Pony,Ride a Wild Pony,1.0,1.0,1.0,1.0,1472,7,0.00030000000000000003,9
5ac19f405542991316484b5b,adaptive_k,dogs,dogs,1.0,1.0,1.0,1.0,275,4,5.8200000000000005e-05,2
5ae382ee5542992e3233c430,adaptive_k,Classical realism,Modern thinkers associated with classical realism are Carl von Clausewitz,0.0,0.33333333333333337,1.0,0.2,964,6,0.00019760000000000003,5
5adcdf455542994ed6169c11,adaptive_k,RAF Tangmere,Royal Air Force,0.0,0.0,0.0,0.0,201,6,4.5e-05,1
5ac35a7e554299741d48a257,adaptive_k,Norwegian,Norwegian language,0.0,0.6666666666666666,1.0,0.5,157,5,3.540000000000001e-05,1
5ab2659e554299340b5254b2,adaptive_k,Parthian Empire,the Parthian Empire,1.0,1.0,1.0,1.0,172,13,4.48e-05,1
5adcbb815542994ed6169bde,adaptive_k,Stone Brewing Co.,Stone Brewing,0.0,0.8,0.6666666666666666,1.0,234,7,5.2400000000000007e-05,1
5a74f8bd5542993748c8976a,adaptive_k,Tim Cluess,Tim Cluess,1.0,1.0,1.0,1.0,296,13,6.96e-05,2
5ade25ed5542997c77aded70,adaptive_k,World War I,the Cold War (1947–91),0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,505,6,0.0001058,2
5a78ae8b5542990784727730,adaptive_k,87 miles,about 115 miles (185 km),0.0,0.28571428571428575,0.5,0.2,177,5,3.94e-05,1
5ae12a4b55429920d52342df,adaptive_k,Pul-i-Alam,Puli Alam,0.0,0.0,0.0,0.0,324,7,7.04e-05,2
5ae22eae554299495565da30,adaptive_k,noanswer,310,0.0,0.0,0.0,0.0,311,5,6.620000000000001e-05,2
5ab6aa4c55429953192ad359,adaptive_k,Kitty Hawk,"""Kitty Hawk""",1.0,1.0,1.0,1.0,239,6,5.2600000000000005e-05,1
5adf3e835542993a75d26442,adaptive_k,Fenris (comics),Marvel,0.0,0.0,0.0,0.0,1073,9,0.00022180000000000002,9
5a8ee3a755429917b4a5be02,adaptive_k,Bing Crosby,"Harry Lillis ""Bing"" Crosby Jr.",0.0,0.5714285714285715,1.0,0.4,226,6,5e-05,1
5ac0dcf25542996f0d89cc2c,adaptive_k,Jane Mayer,Jane Mayer,1.0,1.0,1.0,1.0,777,5,0.0001594,5
5a7e618155429949594199b0,adaptive_k,Albany County,Albany,0.0,0.6666666666666666,0.5,1.0,880,6,0.0001808,4
5ab916e155429919ba4e23a4,adaptive_k,Chiwetel Ejiofor,Chiwetel Ejiofor,1.0,1.0,1.0,1.0,597,9,0.00012660000000000001,4
5a713b325542994082a3e6b5,adaptive_k,Agra,Agra,1.0,1.0,1.0,1.0,1014,5,0.0002068,8
5a87c13f5542996e4f30890c,adaptive_k,Rome,Rome,1.0,1.0,1.0,1.0,574,4,0.00011800000000000001,5
5a8843cd5542994846c1ce75,adaptive_k,Mwabvi river,Buffalo,0.0,0.0,0.0,0.0,383,7,8.22e-05,2
5ab90d8955429916710eb0f1,adaptive_k,Smoothie King Center,Smoothie King Center,1.0,1.0,1.0,1.0,183,7,4.22e-05,1
5ae788fa55429952e35ea964,adaptive_k,jam band sound,extensive use of segues,0.0,0.0,0.0,0.0,595,6,0.0001238,7
5ae1925a554299492dc91b48,adaptive_k,Lady Charlotte Elliot,Charlotte Carnegie,0.0,0.4,0.3333333333333333,0.5,455,6,9.58e-05,5
5ae1443855429920d5234362,adaptive_k,World War II,World War II,1.0,1.0,1.0,1.0,756,6,0.00015600000000000002,5
5ac54c435542993e66e822d1,adaptive_k,Oklahoma State University,Oklahoma State University,1.0,1.0,1.0,1.0,218,7,4.92e-05,1
5a7a77425542995eb53be83e,adaptive_k,Nick Carter,Brady Seals,0.0,0.0,0.0,0.0,573,5,0.00011860000000000001,3
5a7153d05542994082a3e7dc,adaptive_k,Nusretiye Mosque,Nusretiye Mosque,1.0,1.0,1.0,1.0,1149,8,0.0002362,9
5ae361805542992e3233c3c9,adaptive_k,Georgetown University,Georgetown University,1.0,1.0,1.0,1.0,1554,6,0.00031560000000000003,9
5a72688c5542997f827839b2,adaptive_k,Turkey,Turkey,1.0,1.0,1.0,1.0,326,4,6.84e-05,2
5a7ce0ce554299452d57ba92,adaptive_k,William McKinley,William McKinley,1.0,1.0,1.0,1.0,810,7,0.0001676,5
5a83411655429966c78a6b5d,adaptive_k,Superstore,Justin Spitzer,0.0,0.0,0.0,0.0,188,5,4.16e-05,1
5a877dd65542993e715abf79,adaptive_k,no,no,1.0,1.0,1.0,1.0,594,4,0.00012200000000000001,5
5ab6087a554299110f2199be,adaptive_k,no,yes,0.0,0.0,0.0,0.0,362,4,7.560000000000001e-05,3
5adbd70c55429947ff173843,adaptive_k,Personal History,Personal History,1.0,1.0,1.0,1.0,178,5,3.960000000000001e-05,1
5a7796e05542992a6e59df0f,adaptive_k,Netherlands,Netherlands,1.0,1.0,1.0,1.0,481,5,0.00010020000000000001,5
