question_id,method,answer_pred,answer_gt,em,f1,precision,recall,input_tokens,output_tokens,cost_usd,k_star
5ae143ed55429920d5234360,adaptive_k,1755,1755,1.0,1.0,1.0,1.0,197,2,3.0749999999999995e-05,1
5abc19705542993a06baf86e,adaptive_k,Jewish,Dutch,0.0,0.0,0.0,0.0,369,2,5.6550000000000006e-05,2
5ac3e0f7554299194317388b,adaptive_k,Kevin Spacey,Kevin Spacey,1.0,1.0,1.0,1.0,586,3,8.97e-05,4
5ae518655542993aec5ec139,adaptive_k,Florida Senate,40 members,0.0,0.0,0.0,0.0,206,2,3.21e-05,1
5ab985eb554299131ca42360,adaptive_k,Calibanus,Greyia,0.0,0.0,0.0,0.0,249,3,3.915e-05,2
5a8753d95542994846c1cd63,adaptive_k,no,yes,0.0,0.0,0.0,0.0,350,1,5.31e-05,2
5ab97d0a5542996be202051e,adaptive_k,John André,John André,1.0,1.0,1.0,1.0,472,2,7.2e-05,3
5adef1b35542993a75d263af,adaptive_k,Salma Hayek,Salma Hayek Pinault,0.0,0.8,1.0,0.6666666666666666,147,4,2.445e-05,1
5a73b55855429978a71e9086,adaptive_k,Gatwick Airport,Gatwick Airport,1.0,1.0,1.0,1.0,428,4,6.66e-05,3
5ae80919554299540e5a56f6,adaptive_k,Cairnburgh Castle,The Changing Scottish Landscape,0.0,0.0,0.0,0.0,176,6,2.9999999999999997e-05,1
5ae361605542994393b9e69b,adaptive_k,US Naval Submarine Base New London,"""Home of the Submarine Force""",0.0,0.2,0.16666666666666666,0.25,276,7,4.56e-05,2
5ac3a76e554299741d48a2be,adaptive_k,U2,U2,1.0,1.0,1.0,1.0,234,2,3.63e-05,1
5a7557d75542992d0ec05f68,adaptive_k,Laurie Metcalf,Laurie Metcalf,1.0,1.0,1.0,1.0,182,5,3.0299999999999998e-05,1
5a8d12ca5542994ba4e3dbe2,adaptive_k,Nairobi,"Nairobi, Kenya",0.0,0.6666666666666666,1.0,0.5,319,2,4.9050000000000006e-05,2
5ab7f6d35542993667794070,adaptive_k,Cyclic Defrost,Cyclic Defrost,1.0,1.0,1.0,1.0,271,4,4.3049999999999996e-05,2
5ac3d9135542995c82c4ac4c,adaptive_k,729,729 at the 2010 census,0.0,0.4,1.0,0.25,205,1,3.135e-05,2
5ae129115542990adbacf722,adaptive_k,Francis McPeake,Francis McPeake,1.0,1.0,1.0,1.0,1231,5,0.00018765,8
5a86769c5542994775f60776,adaptive_k,Slaughterhouse-Five,Slaughterhouse-Five,1.0,1.0,1.0,1.0,240,5,3.9e-05,1
5ab31864554299233954ff06,adaptive_k,Sarod,strings,0.0,0.0,0.0,0.0,214,2,3.33e-05,1
5a7b1023554299042af8f6c2,adaptive_k,Ride a Wild Pony,Ride a Wild Pony,1.0,1.0,1.0,1.0,1467,4,0.00022244999999999999,9
5ac19f405542991316484b5b,adaptive_k,dog breeds,dogs,0.0,0.0,0.0,0.0,270,2,4.1700000000000004e-05,2
5ae382ee5542992e3233c430,adaptive_k,Classical Realism,Modern thinkers associated with classical realism are Carl von Clausewitz,0.0,0.33333333333333337,1.0,0.2,959,4,0.00014625,5
5adcdf455542994ed6169c11,adaptive_k,operations,Royal Air Force,0.0,0.0,0.0,0.0,196,1,3e-05,1
5ac35a7e554299741d48a257,adaptive_k,Norwegian,Norwegian language,0.0,0.6666666666666666,1.0,0.5,152,2,2.4e-05,1
5ab2659e554299340b5254b2,adaptive_k,Sasanian Empire,the Parthian Empire,0.0,0.5,0.5,0.5,167,4,2.745e-05,1
5adcbb815542994ed6169bde,adaptive_k,Stone Brewing Co.,Stone Brewing,0.0,0.8,0.6666666666666666,1.0,229,4,3.675e-05,1
5a74f8bd5542993748c8976a,adaptive_k,Tim Cluess,Tim Cluess,1.0,1.0,1.0,1.0,291,4,4.6049999999999994e-05,2
5ade25ed5542997c77aded70,adaptive_k,Cold War,the Cold War (1947–91),0.0,0.8,1.0,0.6666666666666666,500,2,7.62e-05,2
5a78ae8b5542990784727730,adaptive_k,Atwater,about 115 miles (185 km),0.0,0.0,0.0,0.0,172,2,2.7e-05,1
5ae12a4b55429920d52342df,adaptive_k,Pul-i-Alam District,Puli Alam,0.0,0.0,0.0,0.0,319,5,5.085e-05,2
5ae22eae554299495565da30,adaptive_k,Randolph,310,0.0,0.0,0.0,0.0,306,2,4.71e-05,2
5ab6aa4c55429953192ad359,adaptive_k,Kitty Hawk,"""Kitty Hawk""",1.0,1.0,1.0,1.0,234,3,3.69e-05,1
5adf3e835542993a75d26442,adaptive_k,"Nick Fury, Agent of S.H.I.E.L.D.",Marvel,0.0,0.0,0.0,0.0,1068,12,0.0001674,9
5a8ee3a755429917b4a5be02,adaptive_k,Bing Crosby,"Harry Lillis ""Bing"" Crosby Jr.",0.0,0.5714285714285715,1.0,0.4,221,3,3.495e-05,1
5ac0dcf25542996f0d89cc2c,adaptive_k,Jane Mayer,Jane Mayer,1.0,1.0,1.0,1.0,772,2,0.000117,5
5a7e618155429949594199b0,adaptive_k,Albany County,Albany,0.0,0.6666666666666666,0.5,1.0,875,3,0.00013304999999999998,4
5ab916e155429919ba4e23a4,adaptive_k,Chiwetel Ejiofor,Chiwetel Ejiofor,1.0,1.0,1.0,1.0,592,6,9.240000000000001e-05,4
5a713b325542994082a3e6b5,adaptive_k,Agra,Agra,1.0,1.0,1.0,1.0,1009,2,0.00015255,8
5a87c13f5542996e4f30890c,adaptive_k,Rome,Rome,1.0,1.0,1.0,1.0,569,1,8.595e-05,5
5a8843cd5542994846c1ce75,adaptive_k,Mwabvi river,Buffalo,0.0,0.0,0.0,0.0,378,4,5.909999999999999e-05,2
