model,qid,question,ground_truth,method,answer,input_tokens,output_tokens,total_tokens,llm_calls,docs_retrieved,routed_to,f1,exact_match,cost_usd,efficiency,lambda_cost
gpt4o_mini,5ae143ed55429920d5234360,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,cart_base,1755,131,2,133,1,1,retrieve,1.0,1,2.1e-05,0.20417,
gpt4o_mini,5ae143ed55429920d5234360,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,cart_noise,1755,271,2,273,1,2,retrieve,1.0,1,4.2e-05,0.17815,
gpt4o_mini,5ae143ed55429920d5234360,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,cart_full,1930,47,2,49,1,0,think,0.0,0,8e-06,0.0,1.0
gpt54_mini,5ae143ed55429920d5234360,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,cart_base,1755,130,11,141,1,1,retrieve,1.0,1,2.6e-05,0.20178,
gpt54_mini,5ae143ed55429920d5234360,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,cart_noise,1755,270,5,275,1,2,retrieve,1.0,1,4.4e-05,0.17792,
gpt54_mini,5ae143ed55429920d5234360,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,cart_full,1755,46,11,57,1,0,think,1.0,1,1.3e-05,0.24628,1.0
gpt4o_mini,5abc19705542993a06baf86e,Black Book starred the actress and writer of what heritage?,Dutch,cart_base,Jewish heritage,306,3,309,1,2,retrieve,0.0,0,4.8e-05,0.0,
gpt4o_mini,5abc19705542993a06baf86e,Black Book starred the actress and writer of what heritage?,Dutch,cart_noise,Jewish heritage,525,3,528,1,4,retrieve,0.0,0,8.1e-05,0.0,
gpt4o_mini,5abc19705542993a06baf86e,Black Book starred the actress and writer of what heritage?,Dutch,cart_full,Dutch-Jewish heritage.,37,6,43,1,0,think,0.0,0,9e-06,0.0,1.0
gpt54_mini,5abc19705542993a06baf86e,Black Book starred the actress and writer of what heritage?,Dutch,cart_base,Dutch heritage,305,5,310,1,2,retrieve,0.6667,0,4.9e-05,0.11615,
gpt54_mini,5abc19705542993a06baf86e,Black Book starred the actress and writer of what heritage?,Dutch,cart_noise,Dutch heritage,524,5,529,1,4,retrieve,0.6667,0,8.2e-05,0.10628,
gpt54_mini,5abc19705542993a06baf86e,Black Book starred the actress and writer of what heritage?,Dutch,cart_full,Indian heritage,36,5,41,1,0,think,0.0,0,8e-06,0.0,1.0
gpt4o_mini,5ac3e0f7554299194317388b,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,cart_base,None.,524,2,526,1,4,retrieve,0.0,0,8e-05,0.0,
gpt4o_mini,5ac3e0f7554299194317388b,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,cart_noise,Kevin Spacey,736,3,739,1,6,retrieve,1.0,1,0.000112,0.15136,
gpt4o_mini,5ac3e0f7554299194317388b,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,cart_full,Kevin Spacey.,38,4,42,1,0,think,1.0,1,8e-06,0.26587,1.0
gpt54_mini,5ac3e0f7554299194317388b,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,cart_base,Kevin Spacey,523,6,529,1,4,retrieve,1.0,1,8.2e-05,0.15942,
gpt54_mini,5ac3e0f7554299194317388b,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,cart_noise,Kevin Spacey,735,6,741,1,6,retrieve,1.0,1,0.000114,0.1513,
gpt54_mini,5ac3e0f7554299194317388b,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,cart_full,Kevin Spacey,37,6,43,1,0,think,1.0,1,9e-06,0.26426,1.0
gpt4o_mini,5ae518655542993aec5ec139,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,cart_base,40 members,963,2,965,1,8,retrieve,1.0,1,0.000146,0.14549,
gpt4o_mini,5ae518655542993aec5ec139,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,cart_noise,40 members,963,2,965,1,8,retrieve,1.0,1,0.000146,0.14549,
gpt4o_mini,5ae518655542993aec5ec139,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,cart_full,40 members.,47,3,50,1,0,think,1.0,1,9e-06,0.25433,1.0
gpt54_mini,5ae518655542993aec5ec139,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,cart_base,40 members,962,5,967,1,8,retrieve,1.0,1,0.000147,0.14545,
gpt54_mini,5ae518655542993aec5ec139,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,cart_noise,40 members,962,5,967,1,8,retrieve,1.0,1,0.000147,0.14545,
gpt54_mini,5ae518655542993aec5ec139,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,cart_full,40 members,46,5,51,1,0,think,1.0,1,1e-05,0.25308,1.0
gpt4o_mini,5ab985eb554299131ca42360,"Between Greyia and Calibanus, which genus contains more species?",Greyia,cart_base,Calibanus,184,3,187,1,2,retrieve,0.0,0,2.9e-05,0.0,
gpt4o_mini,5ab985eb554299131ca42360,"Between Greyia and Calibanus, which genus contains more species?",Greyia,cart_noise,Calibanus,565,3,568,1,4,retrieve,0.0,0,8.7e-05,0.0,
gpt4o_mini,5ab985eb554299131ca42360,"Between Greyia and Calibanus, which genus contains more species?",Greyia,cart_full,Calibanus.,40,4,44,1,0,think,0.0,0,8e-06,0.0,1.0
gpt54_mini,5ab985eb554299131ca42360,"Between Greyia and Calibanus, which genus contains more species?",Greyia,cart_base,Greyia contains more species,183,8,191,1,2,retrieve,0.4,0,3.2e-05,0.07608,
gpt54_mini,5ab985eb554299131ca42360,"Between Greyia and Calibanus, which genus contains more species?",Greyia,cart_noise,Greyia,564,5,569,1,4,retrieve,1.0,1,8.8e-05,0.15759,
gpt54_mini,5ab985eb554299131ca42360,"Between Greyia and Calibanus, which genus contains more species?",Greyia,cart_full,Calibanus,39,6,45,1,0,think,0.0,0,9e-06,0.0,1.0
gpt4o_mini,5a8753d95542994846c1cd63,Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,cart_base,"No, only Tom Clancy.",285,7,292,1,2,retrieve,0.0,0,4.7e-05,0.0,
gpt4o_mini,5a8753d95542994846c1cd63,Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,cart_noise,"No, only Tom Clancy.",432,7,439,1,3,retrieve,0.0,0,6.9e-05,0.0,
gpt4o_mini,5a8753d95542994846c1cd63,Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,cart_full,"Yes, both did.",44,5,49,1,0,think,0.5,0,1e-05,0.12781,1.0
gpt54_mini,5a8753d95542994846c1cd63,Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,cart_base,No,284,4,288,1,2,retrieve,0.0,0,4.5e-05,0.0,
gpt54_mini,5a8753d95542994846c1cd63,Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,cart_noise,No,431,4,435,1,3,retrieve,0.0,0,6.7e-05,0.0,
gpt54_mini,5a8753d95542994846c1cd63,Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,cart_full,Yes,43,4,47,1,0,think,1.0,1,9e-06,0.25832,1.0
gpt4o_mini,5ab97d0a5542996be202051e,Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,cart_base,John André,407,2,409,1,3,retrieve,1.0,1,6.2e-05,0.16622,
gpt4o_mini,5ab97d0a5542996be202051e,Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,cart_noise,John André,785,2,787,1,5,retrieve,1.0,1,0.000119,0.14994,
