model,qid,question,ground_truth,method,answer,input_tokens,output_tokens,total_tokens,llm_calls,docs_retrieved,routed_to,f1,exact_match,cost_usd,efficiency,lambda_cost
claude_sonnet_4_6,5ae143ed55429920d5234360,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,cart_base,Moscow State University was founded in **1755**.,143,13,156,1,1,retrieve,0.25,0,0.000624,0.04944,
claude_sonnet_4_6,5ae143ed55429920d5234360,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,cart_noise,1755,302,6,308,1,2,retrieve,1.0,1,0.000996,0.17442,
claude_sonnet_4_6,5ae143ed55429920d5234360,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,cart_full,1755 (Moscow State University),48,12,60,1,0,think,0.4,0,0.000324,0.0973,1.0
claude_sonnet_4_6,5abc19705542993a06baf86e,Black Book starred the actress and writer of what heritage?,Dutch,cart_base,Jewish heritage,338,5,343,1,2,retrieve,0.0,0,0.001089,0.0,
claude_sonnet_4_6,5abc19705542993a06baf86e,Black Book starred the actress and writer of what heritage?,Dutch,cart_noise,Jewish heritage,590,5,595,1,4,retrieve,0.0,0,0.001845,0.0,
claude_sonnet_4_6,5abc19705542993a06baf86e,Black Book starred the actress and writer of what heritage?,Dutch,cart_full,Jewish heritage,590,5,595,1,4,retrieve,0.0,0,0.001845,0.0,1.0
claude_sonnet_4_6,5ac3e0f7554299194317388b,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,cart_base,Kevin Spacey,602,7,609,1,4,retrieve,1.0,1,0.001911,0.15592,
claude_sonnet_4_6,5ac3e0f7554299194317388b,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,cart_noise,Kevin Spacey,840,7,847,1,6,retrieve,1.0,1,0.002625,0.1483,
claude_sonnet_4_6,5ac3e0f7554299194317388b,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,cart_full,Kevin Spacey,840,7,847,1,6,retrieve,1.0,1,0.002625,0.1483,1.0
claude_sonnet_4_6,5ae518655542993aec5ec139,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,cart_base,**40 members**,1015,8,1023,1,8,retrieve,1.0,1,0.003165,0.14427,
claude_sonnet_4_6,5ae518655542993aec5ec139,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,cart_noise,**40 members**,1015,8,1023,1,8,retrieve,1.0,1,0.003165,0.14427,
claude_sonnet_4_6,5ae518655542993aec5ec139,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,cart_full,40 members,46,7,53,1,0,think,1.0,1,0.000243,0.25069,1.0
claude_sonnet_4_6,5ab985eb554299131ca42360,"Between Greyia and Calibanus, which genus contains more species?",Greyia,cart_base,Greyia,204,7,211,1,2,retrieve,1.0,1,0.000717,0.18669,
claude_sonnet_4_6,5ab985eb554299131ca42360,"Between Greyia and Calibanus, which genus contains more species?",Greyia,cart_noise,Greyia,608,7,615,1,4,retrieve,1.0,1,0.001929,0.15568,
claude_sonnet_4_6,5ab985eb554299131ca42360,"Between Greyia and Calibanus, which genus contains more species?",Greyia,cart_full,Greyia,41,7,48,1,0,think,1.0,1,0.000228,0.25695,1.0
claude_sonnet_4_6,5a8753d95542994846c1cd63,Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,cart_base,No.,310,5,315,1,2,retrieve,0.0,0,0.001005,0.0,
claude_sonnet_4_6,5a8753d95542994846c1cd63,Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,cart_noise,"No, only Clancy did.",477,11,488,1,3,retrieve,0.0,0,0.001596,0.0,
claude_sonnet_4_6,5a8753d95542994846c1cd63,Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,cart_full,"No, only Clancy did.",477,11,488,1,3,retrieve,0.0,0,0.001596,0.0,1.0
claude_sonnet_4_6,5ab97d0a5542996be202051e,Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,cart_base,**John André**,427,7,434,1,3,retrieve,1.0,1,0.001386,0.1646,
claude_sonnet_4_6,5ab97d0a5542996be202051e,Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,cart_noise,John André,841,5,846,1,5,retrieve,1.0,1,0.002598,0.14833,
claude_sonnet_4_6,5ab97d0a5542996be202051e,Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,cart_full,John André,48,5,53,1,0,think,1.0,1,0.000219,0.25069,1.0
claude_sonnet_4_6,5adef1b35542993a75d263af,which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,cart_base,Salma Hayek,91,9,100,1,1,retrieve,0.8,0,0.000408,0.17334,
claude_sonnet_4_6,5adef1b35542993a75d263af,which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,cart_noise,Salma Hayek,219,9,228,1,3,retrieve,0.8,0,0.000792,0.14723,
claude_sonnet_4_6,5adef1b35542993a75d263af,which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,cart_full,Salma Hayek,44,9,53,1,0,think,0.8,0,0.000267,0.20055,1.0
claude_sonnet_4_6,5a73b55855429978a71e9086,Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,cart_base,**Gatwick Airport**,423,9,432,1,3,retrieve,1.0,1,0.001404,0.16472,
claude_sonnet_4_6,5a73b55855429978a71e9086,Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,cart_noise,Gatwick Airport,915,7,922,1,5,retrieve,1.0,1,0.00285,0.14646,
claude_sonnet_4_6,5a73b55855429978a71e9086,Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,cart_full,Gatwick Airport,915,7,922,1,5,retrieve,1.0,1,0.00285,0.14646,1.0
claude_sonnet_4_6,5ae80919554299540e5a56f6,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,The Changing Scottish Landscape,cart_base,"1991's ""The Changing Scottish Landscape""",671,15,686,1,5,retrieve,0.8571,0,0.002238,0.13122,
