question_id,question,ground_truth,method,answer,f1_score,exact_match,input_tokens,output_tokens,total_tokens,cost_usd,efficiency,llm_calls,docs_retrieved,avg_similarity
0,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,always_think,1755,1.0,1,78,60,138,0.000328,0.20266,1,,
0,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,always_retrieve_k3,1755,1.0,1,361,56,417,0.000523,0.16569,1,3,0.4867
0,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,always_retrieve_k5,1755,1.0,1,555,55,610,0.000664,0.15588,1,5,0.4185
1,Black Book starred the actress and writer of what heritage?,Dutch,always_think,Dutch heritage,0.6667,0,68,66,134,0.000348,0.13591,1,,
1,Black Book starred the actress and writer of what heritage?,Dutch,always_retrieve_k3,Dutch heritage,0.6667,0,500,50,550,0.0006,0.10562,1,3,0.4321
1,Black Book starred the actress and writer of what heritage?,Dutch,always_retrieve_k5,Dutch heritage,0.6667,0,736,51,787,0.000782,0.09996,1,5,0.3915
2,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,always_think,Kevin Spacey,1.0,1,69,66,135,0.000349,0.20356,1,,
2,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,always_retrieve_k3,Kevin Spacey,1.0,1,483,69,552,0.000673,0.15834,1,3,0.6529
2,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,always_retrieve_k5,Kevin Spacey,1.0,1,685,72,757,0.000838,0.15081,1,5,0.6048
3,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,always_think,40 members,1.0,1,78,49,127,0.000279,0.2061,1,,
3,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,always_retrieve_k3,21 members,0.5,0,400,88,488,0.000696,0.08074,1,3,0.4741
3,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,always_retrieve_k5,40 members,1.0,1,568,44,612,0.000624,0.1558,1,5,0.4523
4,"Between Greyia and Calibanus, which genus contains more species?",Greyia,always_think,Greyia,1.0,1,71,55,126,0.000301,0.20643,1,,
4,"Between Greyia and Calibanus, which genus contains more species?",Greyia,always_retrieve_k3,Greyia,1.0,1,438,39,477,0.000504,0.16208,1,3,0.5461
4,"Between Greyia and Calibanus, which genus contains more species?",Greyia,always_retrieve_k5,Greyia,1.0,1,699,39,738,0.0007,0.15139,1,5,0.4777
5,Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,always_think,No.,0.0,0,75,72,147,0.00038,0.0,1,,
5,Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,always_retrieve_k3,No.,0.0,0,463,69,532,0.000658,0.0,1,3,0.4843
5,Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,always_retrieve_k5,No.,0.0,0,584,67,651,0.00074,0.0,1,5,0.4237
6,Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,always_think,John André,1.0,1,79,213,292,0.001018,0.17605,1,,
6,Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,always_retrieve_k3,John André,1.0,1,438,63,501,0.000612,0.16081,1,3,0.5378
6,Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,always_retrieve_k5,John André,1.0,1,816,68,884,0.000918,0.14737,1,5,0.4688
7,which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,always_think,Salma Hayek,0.8,0,74,72,146,0.000379,0.16031,1,,
7,which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,always_retrieve_k3,Salma Hayek,0.8,0,215,50,265,0.000386,0.14328,1,3,0.52
7,which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,always_retrieve_k5,Salma Hayek,0.8,0,412,69,481,0.000619,0.12949,1,5,0.4822
8,Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,always_think,London Gatwick Airport,0.8,0,82,54,136,0.000304,0.1626,1,,
8,Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,always_retrieve_k3,Gatwick Airport,1.0,1,397,72,469,0.000622,0.16253,1,3,0.6534
8,Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,always_retrieve_k5,Gatwick Airport,1.0,1,844,72,916,0.000957,0.1466,1,5,0.5692
9,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,The Changing Scottish Landscape,always_think,Sir Walter Scott,0.0,0,79,59,138,0.000325,0.0,1,,
9,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,The Changing Scottish Landscape,always_retrieve_k3,The Changing Scottish Landscape (1991),0.8571,0,319,77,396,0.000586,0.14324,1,3,0.4875
9,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,The Changing Scottish Landscape,always_retrieve_k5,*The Changing Scottish Landscape* (1991),0.8571,0,623,76,699,0.000809,0.13084,1,5,0.4565
10,The facility where Robert Croft worked as a navy instructor was also known as?,"""Home of the Submarine Force""",always_think,Annapolis (the U.S. Naval Academy),0.0,0,73,64,137,0.000343,0.0,1,,
10,The facility where Robert Croft worked as a navy instructor was also known as?,"""Home of the Submarine Force""",always_retrieve_k3,the submarine escape training tank at the US Naval Submarine Base New London submarine school,0.1176,0,375,130,505,0.000866,0.01889,1,3,0.4817
10,The facility where Robert Croft worked as a navy instructor was also known as?,"""Home of the Submarine Force""",always_retrieve_k5,the “Home of the Submarine Force”,0.5,0,644,66,710,0.00078,0.07614,1,5,0.425
11,"Who released the song ""With or Without You"" first, Jai McDowall or U2?",U2,always_think,U2,1.0,1,77,58,135,0.000319,0.20356,1,,
