question_id,method,k,answer_pred,answer_gt,em,f1,precision,recall,input_tokens,output_tokens,cost_usd,selected_titles
5ae143ed55429920d5234360,linucb,2,noanswer,1755,0.0,0.0,0.0,0.0,298,2,4.59e-05,"[""Sergei Aleksandrovich Tokarev"", ""Sergei Aleksandrovich Kudryavtsev""]"
5ae143ed55429920d5234360,linucb,3,noanswer,1755,0.0,0.0,0.0,0.0,341,2,5.235e-05,"[""Sergei Aleksandrovich Tokarev"", ""Sergei Aleksandrovich Kudryavtsev"", ""Sergei Panchin""]"
5ae143ed55429920d5234360,linucb,5,noanswer,1755,0.0,0.0,0.0,0.0,449,2,6.855e-05,"[""Sergei Aleksandrovich Tokarev"", ""Sergei Aleksandrovich Kudryavtsev"", ""Sergei Panchin"", ""Sergei Dmitrochenko"", ""Sergei Kosarev""]"
5abc19705542993a06baf86e,linucb,2,Jewish,Dutch,0.0,0.0,0.0,0.0,392,2,6e-05,"[""Black Book of the Admiralty"", ""Black Book (novel)""]"
5abc19705542993a06baf86e,linucb,3,Jewish,Dutch,0.0,0.0,0.0,0.0,556,2,8.46e-05,"[""Black Book of the Admiralty"", ""Black Book (novel)"", ""Black Book (film)""]"
5abc19705542993a06baf86e,linucb,5,Dutch,Dutch,1.0,1.0,1.0,1.0,864,1,0.0001302,"[""Black Book of the Admiralty"", ""Black Book (novel)"", ""Black Book (film)"", ""Yazidi Book of Revelation"", ""Black Book (World War II)""]"
5ac3e0f7554299194317388b,linucb,2,noanswer,Kevin Spacey,0.0,0.0,0.0,0.0,225,2,3.495e-05,"[""American Beauty (soundtrack)"", ""American Beauty (1927 film)""]"
5ac3e0f7554299194317388b,linucb,3,noanswer,Kevin Spacey,0.0,0.0,0.0,0.0,324,2,4.9800000000000004e-05,"[""American Beauty (soundtrack)"", ""American Beauty (1927 film)"", ""Miss American Beauty 1963""]"
5ac3e0f7554299194317388b,linucb,5,noanswer,Kevin Spacey,0.0,0.0,0.0,0.0,609,2,9.255e-05,"[""American Beauty (soundtrack)"", ""American Beauty (1927 film)"", ""Miss American Beauty 1963"", ""American Beauty/American Psycho Tour"", ""American Beauty (1999 film)""]"
5ae518655542993aec5ec139,linucb,2,noanswer,40 members,0.0,0.0,0.0,0.0,323,2,4.965e-05,"[""Ken Pruitt"", ""Upper house""]"
5ae518655542993aec5ec139,linucb,3,132,40 members,0.0,0.0,0.0,0.0,413,1,6.255e-05,"[""Ken Pruitt"", ""Upper house"", ""Wisconsin Legislature""]"
5ae518655542993aec5ec139,linucb,5,noanswer,40 members,0.0,0.0,0.0,0.0,664,2,0.0001008,"[""Ken Pruitt"", ""Upper house"", ""Wisconsin Legislature"", ""Nevada Legislature"", ""Alaska Legislature""]"
5ab985eb554299131ca42360,linucb,2,Greyia,Greyia,1.0,1.0,1.0,1.0,257,2,3.975e-05,"[""Greyia"", ""Calibanus""]"
5ab985eb554299131ca42360,linucb,3,Amanita,Greyia,0.0,0.0,0.0,0.0,451,3,6.945e-05,"[""Greyia"", ""Calibanus"", ""List of Amanita species""]"
5ab985eb554299131ca42360,linucb,5,Calibanus,Greyia,0.0,0.0,0.0,0.0,711,3,0.00010845,"[""Greyia"", ""Calibanus"", ""List of Amanita species"", ""Calyptocephalellidae"", ""Ceratozamia""]"
5a8753d95542994846c1cd63,linucb,2,no,yes,0.0,0.0,0.0,0.0,358,1,5.43e-05,"[""John Updike"", ""Tom Clancy""]"
5a8753d95542994846c1cd63,linucb,3,no,yes,0.0,0.0,0.0,0.0,504,1,7.62e-05,"[""John Updike"", ""Tom Clancy"", ""Tom Clancy's Rainbow 6: Patriots""]"
5a8753d95542994846c1cd63,linucb,5,no,yes,0.0,0.0,0.0,0.0,629,1,9.494999999999999e-05,"[""John Updike"", ""Tom Clancy"", ""Tom Clancy's Rainbow 6: Patriots"", ""Tom Clancy's Net Force Explorers: Deathworld"", ""Tom Clancy's Net Force Explorers: Gameprey""]"
5ab97d0a5542996be202051e,linucb,2,noanswer,John André,0.0,0.0,0.0,0.0,388,2,5.94e-05,"[""List of Continental Army units"", ""Battle of Germantown""]"
5ab97d0a5542996be202051e,linucb,3,noanswer,John André,0.0,0.0,0.0,0.0,576,2,8.759999999999999e-05,"[""List of Continental Army units"", ""Battle of Germantown"", ""Siege of Yorktown""]"
5ab97d0a5542996be202051e,linucb,5,John André,John André,1.0,1.0,1.0,1.0,848,2,0.0001284,"[""List of Continental Army units"", ""Battle of Germantown"", ""Siege of Yorktown"", ""Board of War"", ""John Andr\u00e9""]"
5adef1b35542993a75d263af,linucb,2,Penélope Cruz,Salma Hayek Pinault,0.0,0.0,0.0,0.0,198,4,3.21e-05,"[""Ethel Houbiers"", ""Lisette Dufour""]"
5adef1b35542993a75d263af,linucb,3,Penélope Cruz,Salma Hayek Pinault,0.0,0.0,0.0,0.0,252,4,4.0199999999999995e-05,"[""Ethel Houbiers"", ""Lisette Dufour"", ""Virginie Ledieu""]"
5adef1b35542993a75d263af,linucb,5,Penélope Cruz,Salma Hayek Pinault,0.0,0.0,0.0,0.0,397,4,6.195e-05,"[""Ethel Houbiers"", ""Lisette Dufour"", ""Virginie Ledieu"", ""Doroth\u00e9e Jemma"", ""Emmanuel Curtil""]"
5a73b55855429978a71e9086,linucb,2,Gatwick Airport,Gatwick Airport,1.0,1.0,1.0,1.0,334,4,5.2499999999999995e-05,"[""Croydon Airport"", ""Dubai International Airport""]"
5a73b55855429978a71e9086,linucb,3,London Heathrow Airport,Gatwick Airport,0.0,0.4,0.3333333333333333,0.5,489,3,7.515e-05,"[""Croydon Airport"", ""Dubai International Airport"", ""Coimbatore International Airport""]"
5a73b55855429978a71e9086,linucb,5,London Heathrow Airport,Gatwick Airport,0.0,0.4,0.3333333333333333,0.5,832,3,0.0001266,"[""Croydon Airport"", ""Dubai International Airport"", ""Coimbatore International Airport"", ""Athens International Airport"", ""Chennai International Airport""]"
5ae80919554299540e5a56f6,linucb,2,noanswer,The Changing Scottish Landscape,0.0,0.0,0.0,0.0,251,2,3.885e-05,"[""Isabella Kelly"", ""Abergairn Castle""]"
5ae80919554299540e5a56f6,linucb,3,The Changing Scottish Landscape,The Changing Scottish Landscape,1.0,1.0,1.0,1.0,364,4,5.6999999999999996e-05,"[""Isabella Kelly"", ""Abergairn Castle"", ""Cairnburgh Castle""]"
5ae80919554299540e5a56f6,linucb,5,"1991's ""The Changing Scottish Landscape""",The Changing Scottish Landscape,0.0,0.8571428571428571,0.75,1.0,664,9,0.00010499999999999999,"[""Isabella Kelly"", ""Abergairn Castle"", ""Cairnburgh Castle"", ""Inch Castle"", ""Clun Castle""]"
5ae361605542994393b9e69b,linucb,2,US Naval Submarine Base New London,"""Home of the Submarine Force""",0.0,0.2,0.16666666666666666,0.25,284,7,4.68e-05,"[""Robert Croft (diver)"", ""RAF Croft""]"
5ae361605542994393b9e69b,linucb,3,US Naval Submarine Base New London,"""Home of the Submarine Force""",0.0,0.2,0.16666666666666666,0.25,409,7,6.555e-05,"[""Robert Croft (diver)"", ""RAF Croft"", ""Music Instructor""]"
5ae361605542994393b9e69b,linucb,5,Naval Submarine Base New London,"""Home of the Submarine Force""",0.0,0.22222222222222224,0.2,0.25,557,7,8.774999999999999e-05,"[""Robert Croft (diver)"", ""RAF Croft"", ""Music Instructor"", ""Lara Croft: Tomb Raider"", ""Naval Submarine Base New London""]"
5ac3a76e554299741d48a2be,linucb,2,U2,U2,1.0,1.0,1.0,1.0,373,2,5.715e-05,"[""With or Without You"", ""The Fly (song)""]"
5ac3a76e554299741d48a2be,linucb,3,U2,U2,1.0,1.0,1.0,1.0,465,2,7.095e-05,"[""With or Without You"", ""The Fly (song)"", ""Heartbeat (The Fray song)""]"
5ac3a76e554299741d48a2be,linucb,5,U2,U2,1.0,1.0,1.0,1.0,694,2,0.0001053,"[""With or Without You"", ""The Fly (song)"", ""Heartbeat (The Fray song)"", ""Believe (Jai McDowall album)"", ""Jai Ho! (You Are My Destiny)""]"
5a7557d75542992d0ec05f68,linucb,2,Laurie Metcalf,Laurie Metcalf,1.0,1.0,1.0,1.0,450,5,7.05e-05,"[""Scream 2"", ""Scream (franchise)""]"
5a7557d75542992d0ec05f68,linucb,3,Laurie Metcalf,Laurie Metcalf,1.0,1.0,1.0,1.0,495,5,7.725000000000001e-05,"[""Scream 2"", ""Scream (franchise)"", ""Scream 2 (Markus Schulz album)""]"
5a7557d75542992d0ec05f68,linucb,5,Laurie Metcalf,Laurie Metcalf,1.0,1.0,1.0,1.0,728,5,0.0001122,"[""Scream 2"", ""Scream (franchise)"", ""Scream 2 (Markus Schulz album)"", ""List of Scream characters"", ""Bobby Gaylor""]"
5a8d12ca5542994ba4e3dbe2,linucb,2,Dar es Salaam,"Nairobi, Kenya",0.0,0.0,0.0,0.0,306,3,4.77e-05,"[""Fastjet Tanzania"", ""Goldie &amp; McCulloch""]"
5a8d12ca5542994ba4e3dbe2,linucb,3,Galt,"Nairobi, Kenya",0.0,0.0,0.0,0.0,391,2,5.985e-05,"[""Fastjet Tanzania"", ""Goldie &amp; McCulloch"", ""Christian Brothers College, St Kilda""]"
5a8d12ca5542994ba4e3dbe2,linucb,5,Galt,"Nairobi, Kenya",0.0,0.0,0.0,0.0,552,2,8.4e-05,"[""Fastjet Tanzania"", ""Goldie &amp; McCulloch"", ""Christian Brothers College, St Kilda"", ""Genius (website)"", ""Fly540""]"
5ab7f6d35542993667794070,linucb,2,noanswer,Cyclic Defrost,0.0,0.0,0.0,0.0,508,2,7.740000000000001e-05,"[""Experimental hip hop"", ""Hip hop""]"
5ab7f6d35542993667794070,linucb,3,noanswer,Cyclic Defrost,0.0,0.0,0.0,0.0,609,2,9.255e-05,"[""Experimental hip hop"", ""Hip hop"", ""List of sound artists""]"
5ab7f6d35542993667794070,linucb,5,noanswer,Cyclic Defrost,0.0,0.0,0.0,0.0,828,2,0.00012539999999999999,"[""Experimental hip hop"", ""Hip hop"", ""List of sound artists"", ""And/oar"", ""Petri Kuljuntausta""]"
5ac3d9135542995c82c4ac4c,linucb,2,noanswer,729 at the 2010 census,0.0,0.0,0.0,0.0,369,2,5.6550000000000006e-05,"[""Munsonville, New Hampshire"", ""Sullivan's Corner Historic District""]"
