question_id,method,k,answer_pred,answer_gt,em,f1,precision,recall,input_tokens,output_tokens,cost_usd,selected_titles,unseen_fallback
5ae143ed55429920d5234360,ucb1,2,1755,1755,1.0,1.0,1.0,1.0,322,5,6.840000000000001e-05,"[""Moscow State University"", ""Sergei Roshchin""]",True
5ae143ed55429920d5234360,ucb1,3,1755,1755,1.0,1.0,1.0,1.0,469,5,9.780000000000002e-05,"[""Moscow State University"", ""Sergei Roshchin"", ""Sergei Kornilenko""]",True
5ae143ed55429920d5234360,ucb1,5,1755,1755,1.0,1.0,1.0,1.0,634,5,0.0001308,"[""Moscow State University"", ""Sergei Roshchin"", ""Sergei Kornilenko"", ""Sergei Chikildin"", ""Sergei Sholokhov""]",True
5abc19705542993a06baf86e,ucb1,2,Dutch-Indonesian,Dutch,0.0,0.0,0.0,0.0,455,7,9.66e-05,"[""Black Book (film)"", ""Black Book of the Admiralty""]",True
5abc19705542993a06baf86e,ucb1,3,Dutch,Dutch,1.0,1.0,1.0,1.0,620,4,0.0001272,"[""Black Book (film)"", ""Black Book of the Admiralty"", ""Black Book (World War II)""]",True
5abc19705542993a06baf86e,ucb1,5,Jewish,Dutch,0.0,0.0,0.0,0.0,878,5,0.0001796,"[""Black Book (film)"", ""Black Book of the Admiralty"", ""Black Book (World War II)"", ""Books of Clanranald"", ""Black Book (novel)""]",True
5ac3e0f7554299194317388b,ucb1,2,Kevin Spacey,Kevin Spacey,1.0,1.0,1.0,1.0,315,6,6.78e-05,"[""American Beauty (1999 film)"", ""American Beauty (soundtrack)""]",True
5ac3e0f7554299194317388b,ucb1,3,Kevin Spacey,Kevin Spacey,1.0,1.0,1.0,1.0,386,6,8.2e-05,"[""American Beauty (1999 film)"", ""American Beauty (soundtrack)"", ""American Beauty (1927 film)""]",True
5ac3e0f7554299194317388b,ucb1,5,Kevin Spacey,Kevin Spacey,1.0,1.0,1.0,1.0,646,6,0.00013400000000000003,"[""American Beauty (1999 film)"", ""American Beauty (soundtrack)"", ""American Beauty (1927 film)"", ""Miss American Beauty 1963"", ""Coty, Inc.""]",True
5ae518655542993aec5ec139,ucb1,2,40,40 members,0.0,0.6666666666666666,1.0,0.5,288,4,6.080000000000001e-05,"[""Florida Senate"", ""Ken Pruitt""]",True
